Gender,Age,Education,Employment,Context
Male,33,High School Degree,Employed,moderate stability
Female,49,No High School Degree,Employed,precarious life
Male,40,No High School Degree,Unemployed,moderate stability
Male,42,No High School Degree,Unemployed,stable and supportive life
Male,55,High School Degree,Unemployed,precarious life
Male,45,No High School Degree,Unemployed,precarious life
Male,45,No High School Degree,Employed,stable and supportive life
Male,50,Degree,Employed,moderate stability
Female,36,High School Degree,Unemployed,precarious life
Male,31,No High School Degree,Employed,moderate stability
Male,29,Master,Unemployed,precarious life
Female,25,No High School Degree,Employed,precarious life
Male,60,High School Degree,Employed,moderate stability
Female,28,No High School Degree,Unemployed,unstable life
Female,37,No High School Degree,Employed,unstable life
Female,37,High School Degree,Unemployed,precarious life
Female,43,No High School Degree,Unemployed,precarious life
Male,48,High School Degree,Unemployed,moderate stability
Female,48,No High School Degree,Unemployed,precarious life
Female,34,No High School Degree,Unemployed,precarious life
Male,38,No High School Degree,Unemployed,moderate stability
Male,42,No High School Degree,Employed,precarious life
Female,37,No High School Degree,Employed,moderate stability
Female,56,High School Degree,Unemployed,precarious life
Female,44,High School Degree,Employed,precarious life
Female,47,No High School Degree,Employed,moderate stability
Female,46,No High School Degree,Employed,precarious life
Male,51,No High School Degree,Unemployed,moderate stability
Female,41,High School Degree,Unemployed,precarious life
Female,27,No High School Degree,Employed,precarious life
Female,43,Master,Unemployed,precarious life
Male,33,High School Degree,Unemployed,stable and supportive life
Female,34,No High School Degree,Unemployed,precarious life
Female,45,No High School Degree,Unemployed,precarious life
Male,52,No High School Degree,Unemployed,moderate stability
Female,40,No High School Degree,Employed,precarious life
Male,43,No High School Degree,Unemployed,moderate stability
Female,57,High School Degree,Employed,unstable life
Female,42,No High School Degree,Unemployed,precarious life
Male,66,No High School Degree,Unemployed,moderate stability
Male,45,High School Degree,Employed,moderate stability
Male,25,No High School Degree,Employed,moderate stability
Male,47,Degree,Unemployed,precarious life
Male,43,High School Degree,Employed,precarious life
Female,52,High School Degree,Unemployed,precarious life
Male,46,High School Degree,Employed,precarious life
Female,38,No High School Degree,Employed,precarious life
Male,27,No High School Degree,Unemployed,moderate stability
Male,37,No High School Degree,Unemployed,moderate stability
Female,31,No High School Degree,Unemployed,unstable life
Male,34,High School Degree,Employed,moderate stability
Female,45,No High School Degree,Unemployed,precarious life
Female,56,No High School Degree,Unemployed,precarious life
Male,43,No High School Degree,Unemployed,moderate stability
Male,28,High School Degree,Unemployed,moderate stability
Male,44,No High School Degree,Unemployed,moderate stability
Female,51,No High School Degree,Employed,precarious life
Female,33,No High School Degree,Employed,precarious life
Male,38,No High School Degree,Unemployed,moderate stability
Male,40,Degree,Employed,moderate stability
Female,32,High School Degree,Unemployed,precarious life
Male,46,High School Degree,Employed,precarious life
Female,38,No High School Degree,Unemployed,precarious life
Female,44,No High School Degree,Unemployed,precarious life
Male,31,High School Degree,Employed,moderate stability
Male,35,No High School Degree,Employed,moderate stability
Male,47,No High School Degree,Employed,precarious life
Male,36,Master,Unemployed,moderate stability
Male,57,No High School Degree,Unemployed,moderate stability
Female,36,No High School Degree,Employed,precarious life
Female,42,High School Degree,Unemployed,moderate stability
Male,49,No High School Degree,Employed,stable and supportive life
Male,25,High School Degree,Employed,precarious life
Male,25,High School Degree,Unemployed,stable and supportive life
Female,25,High School Degree,Employed,unstable life
Female,52,No High School Degree,Employed,moderate stability
Female,34,No High School Degree,Employed,moderate stability
Male,65,No High School Degree,Employed,precarious life
Male,34,High School Degree,Employed,moderate stability
Female,41,No High School Degree,Employed,unstable life
Female,55,No High School Degree,Unemployed,precarious life
Male,60,No High School Degree,Employed,moderate stability
Male,60,No High School Degree,Unemployed,moderate stability
Male,52,Degree,Employed,precarious life
Female,50,High School Degree,Employed,precarious life
Female,45,Degree,Unemployed,precarious life
Male,47,High School Degree,Unemployed,moderate stability
Male,34,High School Degree,Employed,moderate stability
Male,31,No High School Degree,Unemployed,precarious life
Female,39,No High School Degree,Unemployed,moderate stability
Male,38,Degree,Unemployed,moderate stability
Male,35,High School Degree,Unemployed,moderate stability
Female,46,High School Degree,Employed,precarious life
Female,49,No High School Degree,Employed,precarious life
Female,40,No High School Degree,Unemployed,precarious life
Female,54,High School Degree,Employed,precarious life
Female,28,No High School Degree,Unemployed,moderate stability
Male,38,No High School Degree,Employed,moderate stability
Male,32,High School Degree,Employed,moderate stability
Female,25,Degree,Unemployed,precarious life
Female,39,No High School Degree,Employed,precarious life
Male,38,High School Degree,Unemployed,precarious life
Female,55,No High School Degree,Unemployed,precarious life
Female,46,High School Degree,Unemployed,precarious life
Male,29,No High School Degree,Unemployed,precarious life
Male,58,Degree,Unemployed,moderate stability
Male,52,High School Degree,Unemployed,stable and supportive life
Male,45,No High School Degree,Unemployed,moderate stability
Female,37,No High School Degree,Employed,moderate stability
Female,30,High School Degree,Employed,precarious life
Female,36,No High School Degree,Employed,unstable life
Female,50,No High School Degree,Employed,precarious life
Female,58,High School Degree,Unemployed,moderate stability
Male,55,High School Degree,Unemployed,stable and supportive life
Female,35,High School Degree,Unemployed,precarious life
Male,28,Degree,Employed,moderate stability
Male,41,High School Degree,Unemployed,precarious life
Female,25,No High School Degree,Employed,precarious life
Male,43,No High School Degree,Unemployed,moderate stability
Male,38,No High School Degree,Unemployed,moderate stability
Male,35,No High School Degree,Employed,moderate stability
Female,25,High School Degree,Employed,precarious life
Male,45,High School Degree,Employed,moderate stability
Female,34,No High School Degree,Unemployed,precarious life
Male,28,High School Degree,Unemployed,moderate stability
Male,25,No High School Degree,Unemployed,stable and supportive life
Female,39,High School Degree,Employed,precarious life
Female,57,No High School Degree,Employed,precarious life
Male,56,No High School Degree,Unemployed,moderate stability
Female,35,High School Degree,Unemployed,precarious life
Female,33,High School Degree,Employed,unstable life
Male,44,No High School Degree,Employed,moderate stability
Female,30,No High School Degree,Unemployed,precarious life
Male,43,High School Degree,Employed,moderate stability
Female,47,No High School Degree,Employed,precarious life
Male,52,No High School Degree,Employed,stable and supportive life
Female,38,No High School Degree,Unemployed,precarious life
Female,37,High School Degree,Unemployed,precarious life
Male,31,No High School Degree,Unemployed,moderate stability
Female,31,No High School Degree,Unemployed,precarious life
Male,37,High School Degree,Unemployed,moderate stability
Male,43,No High School Degree,Employed,moderate stability
Female,49,High School Degree,Unemployed,unstable life
Female,31,No High School Degree,Employed,moderate stability
Female,54,No High School Degree,Unemployed,moderate stability
Male,37,No High School Degree,Employed,moderate stability
Female,39,No High School Degree,Employed,precarious life
Female,32,No High School Degree,Employed,precarious life
Female,25,No High School Degree,Employed,moderate stability
Male,48,No High School Degree,Employed,moderate stability
Female,47,No High School Degree,Employed,moderate stability
Male,37,Degree,Unemployed,moderate stability
Female,40,No High School Degree,Employed,precarious life
Male,45,No High School Degree,Unemployed,moderate stability
Male,25,High School Degree,Unemployed,moderate stability
Female,34,No High School Degree,Unemployed,precarious life
Male,47,No High School Degree,Unemployed,stable and supportive life
Female,27,High School Degree,Unemployed,moderate stability
Female,42,No High School Degree,Employed,precarious life
Male,26,No High School Degree,Employed,moderate stability
Female,44,High School Degree,Employed,precarious life
Male,39,High School Degree,Unemployed,moderate stability
Male,25,High School Degree,Unemployed,moderate stability
Female,51,No High School Degree,Employed,precarious life
Male,32,No High School Degree,Employed,moderate stability
Male,31,Degree,Unemployed,moderate stability
Male,42,No High School Degree,Employed,moderate stability
Male,51,Master,Unemployed,stable and supportive life
Female,29,No High School Degree,Unemployed,precarious life
Female,40,High School Degree,Unemployed,precarious life
Female,44,No High School Degree,Unemployed,precarious life
Female,46,No High School Degree,Unemployed,precarious life
Female,41,No High School Degree,Employed,precarious life
Male,36,No High School Degree,Unemployed,moderate stability
Male,31,No High School Degree,Unemployed,moderate stability
Male,40,High School Degree,Employed,moderate stability
Male,29,High School Degree,Employed,moderate stability
Male,25,Degree,Employed,moderate stability
Female,44,No High School Degree,Employed,precarious life
Male,49,No High School Degree,Unemployed,stable and supportive life
Male,25,No High School Degree,Unemployed,moderate stability
Female,29,Degree,Employed,precarious life
Female,46,No High School Degree,Employed,precarious life
Male,60,No High School Degree,Unemployed,moderate stability
Male,40,High School Degree,Employed,precarious life
Male,32,No High School Degree,Employed,moderate stability
Male,38,High School Degree,Unemployed,moderate stability
Male,53,No High School Degree,Unemployed,precarious life
Female,33,High School Degree,Employed,precarious life
Female,32,No High School Degree,Employed,unstable life
Female,35,Degree,Employed,precarious life
Male,30,No High School Degree,Unemployed,moderate stability
Female,41,No High School Degree,Unemployed,moderate stability
Female,56,No High School Degree,Employed,precarious life
Male,43,No High School Degree,Unemployed,moderate stability
Female,37,No High School Degree,Unemployed,moderate stability
Female,37,No High School Degree,Employed,precarious life
Female,25,High School Degree,Employed,moderate stability
Male,48,High School Degree,Unemployed,moderate stability
Female,39,Master,Employed,precarious life
Female,38,High School Degree,Employed,moderate stability
Male,71,No High School Degree,Unemployed,moderate stability
Male,42,High School Degree,Unemployed,moderate stability
Male,32,High School Degree,Unemployed,moderate stability
Female,35,No High School Degree,Unemployed,precarious life
Female,51,No High School Degree,Unemployed,precarious life
Male,41,High School Degree,Employed,moderate stability
Male,25,No High School Degree,Unemployed,moderate stability
Female,49,No High School Degree,Employed,moderate stability
Male,33,No High School Degree,Employed,stable and supportive life
Female,58,High School Degree,Unemployed,moderate stability
Male,50,High School Degree,Unemployed,moderate stability
Male,35,High School Degree,Employed,moderate stability
Male,52,High School Degree,Unemployed,moderate stability
Female,40,No High School Degree,Employed,precarious life
Male,48,Degree,Employed,moderate stability
Female,44,High School Degree,Employed,precarious life
Female,31,No High School Degree,Unemployed,precarious life
Male,33,No High School Degree,Unemployed,precarious life
Male,50,No High School Degree,Employed,moderate stability
Male,36,No High School Degree,Unemployed,stable and supportive life
Female,35,No High School Degree,Employed,unstable life
Male,30,No High School Degree,Unemployed,moderate stability
Female,44,High School Degree,Employed,unstable life
Male,60,High School Degree,Employed,precarious life
Male,29,High School Degree,Unemployed,moderate stability
Female,40,No High School Degree,Employed,moderate stability
Female,54,No High School Degree,Employed,precarious life
Female,39,No High School Degree,Unemployed,precarious life
Male,44,No High School Degree,Unemployed,moderate stability
Male,29,High School Degree,Employed,precarious life
Male,44,High School Degree,Employed,moderate stability
Male,38,No High School Degree,Employed,moderate stability
Female,49,No High School Degree,Unemployed,precarious life
Male,51,No High School Degree,Employed,stable and supportive life
Male,65,No High School Degree,Unemployed,moderate stability
Female,45,No High School Degree,Unemployed,unstable life
Male,43,No High School Degree,Employed,moderate stability
Female,41,No High School Degree,Employed,precarious life
Male,36,No High School Degree,Employed,moderate stability
Female,43,Degree,Employed,precarious life
Male,37,Degree,Unemployed,precarious life
