Race,Age,Prior Convictions,Context
Non-White,45,Some priors,precarious life
White-Caucasian,42,Some priors,stable and supportive life
White-Caucasian,45,No prior convictions,moderate stability
Non-White,41,No prior convictions,moderate stability
Non-White,50,No prior convictions,unstable life
Non-White,44,No prior convictions,unstable life
Non-White,51,Some priors,unstable life
Non-White,39,Some priors,stable and supportive life
White-Caucasian,52,No prior convictions,moderate stability
White-Caucasian,55,Some priors,moderate stability
Non-White,36,No prior convictions,unstable life
White-Caucasian,52,No prior convictions,stable and supportive life
White-Caucasian,58,No prior convictions,stable and supportive life
Non-White,41,Some priors,unstable life
Non-White,61,Many priors,unstable life
Non-White,52,Some priors,unstable life
Non-White,45,Some priors,precarious life
White-Caucasian,49,Some priors,moderate stability
White-Caucasian,53,No prior convictions,precarious life
Non-White,50,Some priors,precarious life
Non-White,53,No prior convictions,moderate stability
White-Caucasian,43,No prior convictions,unstable life
Non-White,51,Some priors,precarious life
Non-White,40,Many priors,precarious life
Non-White,49,No prior convictions,precarious life
Non-White,43,No prior convictions,stable and supportive life
Non-White,44,Some priors,unstable life
White-Caucasian,58,No prior convictions,moderate stability
Non-White,57,No prior convictions,moderate stability
Non-White,54,Some priors,unstable life
White-Caucasian,42,No prior convictions,moderate stability
Non-White,47,No prior convictions,unstable life
Non-White,58,No prior convictions,unstable life
White-Caucasian,50,No prior convictions,stable and supportive life
White-Caucasian,66,No prior convictions,stable and supportive life
White-Caucasian,52,No prior convictions,stable and supportive life
Non-White,51,Some priors,precarious life
Non-White,47,Many priors,unstable life
White-Caucasian,50,Some priors,moderate stability
Non-White,48,Some priors,precarious life
White-Caucasian,54,Some priors,unstable life
Non-White,56,No prior convictions,precarious life
Non-White,44,No prior convictions,unstable life
Non-White,40,Some priors,stable and supportive life
White-Caucasian,37,No prior convictions,precarious life
White-Caucasian,53,Some priors,moderate stability
White-Caucasian,42,Some priors,precarious life
Non-White,34,Some priors,moderate stability
White-Caucasian,52,No prior convictions,moderate stability
Non-White,67,No prior convictions,unstable life
White-Caucasian,49,No prior convictions,stable and supportive life
White-Caucasian,55,No prior convictions,stable and supportive life
White-Caucasian,50,No prior convictions,stable and supportive life
Non-White,49,Some priors,stable and supportive life
White-Caucasian,56,No prior convictions,moderate stability
White-Caucasian,47,No prior convictions,stable and supportive life
White-Caucasian,51,No prior convictions,unstable life
Non-White,52,No prior convictions,unstable life
Non-White,45,No prior convictions,unstable life
White-Caucasian,56,No prior convictions,precarious life
Non-White,48,No prior convictions,precarious life
Non-White,44,No prior convictions,precarious life
White-Caucasian,53,No prior convictions,stable and supportive life
Non-White,43,No prior convictions,precarious life
