NumSentences,UniqueTokens_Raw_Mean,UniqueTokens_Raw_SD,UniqueTokens_Deduplicated_Mean,UniqueTokens_Deduplicated_SD
200,418.0,10.55,435.4,8.98
400,495.4,8.4,501.8,4.92
600,522.2,5.04,517.6,3.2
800,526.0,5.29,528.4,4.5
1000,530.6,5.57,536.4,3.56
1200,534.0,6.23,540.0,1.79
1400,536.8,2.93,538.8,2.23
1600,539.0,2.76,538.8,4.12
1800,541.0,2.45,542.0,1.9
2000,541.2,2.71,542.0,1.1
2200,541.6,1.02,543.8,0.98
2400,542.2,3.19,543.0,0.63
2600,542.2,1.33,543.2,0.75
2800,543.6,0.8,542.2,2.23
3000,543.6,0.8,543.8,0.75
3200,543.2,0.98,543.8,0.75
3400,543.6,1.2,544.2,0.75
3600,543.8,0.4,544.2,0.4
3800,544.0,0.0,544.6,0.49
4000,544.0,0.0,544.0,0.63
4200,544.6,0.49,544.2,0.75
4400,543.8,0.98,544.0,0.63
4600,543.4,0.8,544.2,0.4
4800,544.2,0.4,544.4,0.49
5000,543.8,0.4,544.8,0.4
