Gender,Age,Education,Employment,Sentence,sentiment_score_positive,sentiment_score_negative
Female,45,High School Degree,Employed,"A 45-year-old Female, holding High School Degree and currently Employed, exists within a landscape defined by on-edge rhythms.",0.9929476976394653,0.007052268832921982
Male,42,High School Degree,Employed,"A Male of 42, bearing High School Degree and Employed, lives within scenes tinged with secure hues and unspoken moods.",0.9966859221458435,0.0033141421154141426
Female,45,No High School Degree,Unemployed,"Female, aged 45, with No High School Degree and Unemployed, walks a path marked by calm undertones and a sense of ever-present presence.",0.9960675239562988,0.003932422958314419
Female,41,No High School Degree,Unemployed,"This Female, 41 years old with No High School Degree and Unemployed, finds themselves surrounded by calm days and subtle shifts.",0.9918181896209717,0.00818178616464138
Male,50,No High School Degree,Employed,"At 50, this Male with No High School Degree and Employed status moves through erratic moments shaped by the world around them.",0.04209446907043457,0.9579055905342102
Female,44,No High School Degree,Unemployed,"Female, 44, with No High School Degree and Unemployed, carries their story in the middle of a chaotic world where every moment matters.",0.9876481294631958,0.01235183048993349
Female,51,High School Degree,Employed,"At 51, this Female with High School Degree and Employed status moves through turbulent moments shaped by the world around them.",0.989495575428009,0.01050442922860384
Female,39,High School Degree,Employed,"At 39, this Female with High School Degree and Employed status moves through dependable moments shaped by the world around them.",0.9945100545883179,0.005489870440214872
Male,52,No High School Degree,Employed,"A Male of 52, bearing No High School Degree and Employed, lives within scenes tinged with steady hues and unspoken moods.",0.9951977133750916,0.0048023429699242115
Male,55,High School Degree,Employed,"A Male of 55, bearing High School Degree and Employed, lives within scenes tinged with calm hues and unspoken moods.",0.996545135974884,0.003454855876043439
Female,36,No High School Degree,Unemployed,"Female, aged 36, with No High School Degree and Unemployed, walks a path marked by shifting undertones and a sense of ever-present presence.",0.9706057906150818,0.029394276440143585
Female,52,No High School Degree,Employed,"A Female of 52, bearing No High School Degree and Employed, lives within scenes tinged with grounded hues and unspoken moods.",0.9976623058319092,0.0023376767057925463
Male,58,No High School Degree,Employed,"At 58, this Male with No High School Degree and Employed status moves through dependable moments shaped by the world around them.",0.9483421444892883,0.05165783688426018
Female,41,High School Degree,Unemployed,"Female, aged 41, with High School Degree and Unemployed, walks a path marked by turbulent undertones and a sense of ever-present presence.",0.9844772815704346,0.015522743575274944
Female,61,Degree,Employed,"This Female, 61 years old with Degree and Employed, finds themselves surrounded by unpredictable days and subtle shifts.",0.9575928449630737,0.04240718111395836
Female,52,High School Degree,Unemployed,"This Female, 52 years old with High School Degree and Unemployed, finds themselves surrounded by turbulent days and subtle shifts.",0.847510814666748,0.15248915553092957
Female,45,High School Degree,Employed,"Female, 45, with High School Degree and Employed, carries their story in the middle of a uncertain world where every moment matters.",0.9968591928482056,0.003140783868730068
Male,49,High School Degree,Employed,"A 49-year-old Male, holding High School Degree and currently Employed, exists within a landscape defined by routine rhythms.",0.15180400013923645,0.8481959700584412
Male,53,No High School Degree,Employed,"At 53, this Male with No High School Degree and Employed status moves through delicate moments shaped by the world around them.",0.9868227243423462,0.013177269138395786
Male,50,High School Degree,Employed,"This Male, 50 years old with High School Degree and Employed, finds themselves surrounded by delicate days and subtle shifts.",0.9966339468955994,0.003366113407537341
Female,53,No High School Degree,Employed,"This Female, 53 years old with No High School Degree and Employed, finds themselves surrounded by balanced days and subtle shifts.",0.99769526720047,0.002304770052433014
Male,43,No High School Degree,Employed,"At 43, this Male with No High School Degree and Employed status moves through shifting moments shaped by the world around them.",0.9164537191390991,0.08354626595973969
Male,51,High School Degree,Employed,"Male, 51, with High School Degree and Employed, carries their story in the middle of a tense world where every moment matters.",0.9981598258018494,0.0018402326386421919
Male,40,Master,Employed,"A Male of 40, bearing Master and Employed, lives within scenes tinged with on-edge hues and unspoken moods.",0.997366726398468,0.002633253810927272
Female,49,No High School Degree,Employed,"At 49, this Female with No High School Degree and Employed status moves through fragile moments shaped by the world around them.",0.9454942941665649,0.05450570210814476
Female,43,No High School Degree,Employed,"This Female, 43 years old with No High School Degree and Employed, finds themselves surrounded by peaceful days and subtle shifts.",0.9980606436729431,0.0019393176771700382
Male,44,High School Degree,Employed,"At 44, this Male with High School Degree and Employed status moves through turbulent moments shaped by the world around them.",0.9864575266838074,0.013542471453547478
Male,58,No High School Degree,Employed,"At 58, this Male with No High School Degree and Employed status moves through balanced moments shaped by the world around them.",0.9844510555267334,0.01554894633591175
Female,57,No High School Degree,Unemployed,"A Female of 57, bearing No High School Degree and Unemployed, lives within scenes tinged with calm hues and unspoken moods.",0.9895584583282471,0.010441528633236885
Male,54,High School Degree,Employed,"This Male, 54 years old with High School Degree and Employed, finds themselves surrounded by unpredictable days and subtle shifts.",0.9611595869064331,0.038840338587760925
Male,42,No High School Degree,Employed,"Male, 42, with No High School Degree and Employed, carries their story in the middle of a routine world where every moment matters.",0.9627102017402649,0.03728977590799332
Male,47,No High School Degree,Employed,"A 47-year-old Male, holding No High School Degree and currently Employed, exists within a landscape defined by shifting rhythms.",0.9590907692909241,0.04090924561023712
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, carries their story in the middle of a chaotic world where every moment matters.",0.9926482439041138,0.007351812906563282
Male,50,No High School Degree,Employed,"Male, 50, with No High School Degree and Employed, carries their story in the middle of a supportive world where every moment matters.",0.9985719919204712,0.001428002375178039
Male,66,No High School Degree,Employed,"A Male of 66, bearing No High School Degree and Employed, lives within scenes tinged with supportive hues and unspoken moods.",0.9946359992027283,0.005363980773836374
Male,52,No High School Degree,Employed,"Male, aged 52, with No High School Degree and Employed, walks a path marked by dependable undertones and a sense of ever-present presence.",0.998323380947113,0.0016765942564234138
Female,51,High School Degree,Unemployed,"Female, 51, with High School Degree and Unemployed, carries their story in the middle of a delicate world where every moment matters.",0.9975391626358032,0.0024608031380921602
Male,47,Degree,Employed,"Male, aged 47, with Degree and Employed, walks a path marked by chaotic undertones and a sense of ever-present presence.",0.9696062803268433,0.030393727123737335
Female,50,High School Degree,Unemployed,"Female, aged 50, with High School Degree and Unemployed, walks a path marked by middle-ground undertones and a sense of ever-present presence.",0.9755553007125854,0.02444467507302761
Female,48,High School Degree,Unemployed,"A 48-year-old Female, holding High School Degree and currently Unemployed, exists within a landscape defined by delicate rhythms.",0.9911571741104126,0.008842810988426208
Male,54,High School Degree,Employed,"At 54, this Male with High School Degree and Employed status moves through shifting moments shaped by the world around them.",0.9891390204429626,0.010860945098102093
Female,56,No High School Degree,Employed,"At 56, this Female with No High School Degree and Employed status moves through uncertain moments shaped by the world around them.",0.5068997144699097,0.49310028553009033
Male,44,No High School Degree,Employed,"This Male, 44 years old with No High School Degree and Employed, finds themselves surrounded by shifting days and subtle shifts.",0.8508872985839844,0.14911268651485443
Female,40,High School Degree,Employed,"A Female of 40, bearing High School Degree and Employed, lives within scenes tinged with secure hues and unspoken moods.",0.9973642230033875,0.0026358352042734623
Male,37,No High School Degree,Employed,"Male, 37, with No High School Degree and Employed, carries their story in the middle of a fragile world where every moment matters.",0.9963055849075317,0.003694368526339531
Male,53,High School Degree,Employed,"At 53, this Male with High School Degree and Employed status moves through balanced moments shaped by the world around them.",0.9972274899482727,0.0027724772226065397
Male,42,High School Degree,Employed,"A 42-year-old Male, holding High School Degree and currently Employed, exists within a landscape defined by on-edge rhythms.",0.9935482144355774,0.006451824679970741
Female,34,High School Degree,Unemployed,"Female, aged 34, with High School Degree and Unemployed, walks a path marked by balanced undertones and a sense of ever-present presence.",0.9983774423599243,0.0016224863938987255
Female,52,No High School Degree,Unemployed,"This Female, 52 years old with No High School Degree and Unemployed, finds themselves surrounded by calm days and subtle shifts.",0.9922592043876648,0.0077408370561897755
Female,67,No High School Degree,Employed,"A 67-year-old Female, holding No High School Degree and currently Employed, exists within a landscape defined by shifting rhythms.",0.9697199463844299,0.03028007410466671
Male,49,No High School Degree,Employed,"At 49, this Male with No High School Degree and Employed status moves through peaceful moments shaped by the world around them.",0.9920170307159424,0.007982940413057804
Female,55,No High School Degree,Employed,"Female, 55, with No High School Degree and Employed, carries their story in the middle of a dependable world where every moment matters.",0.9981611371040344,0.0018388604512438178
Male,50,No High School Degree,Employed,"A Male of 50, bearing No High School Degree and Employed, lives within scenes tinged with dependable hues and unspoken moods.",0.993842363357544,0.006157585885375738
Female,49,High School Degree,Unemployed,"A 49-year-old Female, holding High School Degree and currently Unemployed, exists within a landscape defined by secure rhythms.",0.8544272780418396,0.1455727368593216
