model,budget,Effect,Estimate
allam_2_7b,100,Direct,0.040263708621949695
allam_2_7b,100,Indirect,0.011394812970074678
allam_2_7b,100,Spurious,0.0028546867990110604
allam_2_7b,100,Total,0.05216464928037149
allam_2_7b,200,Direct,0.03502917905554782
allam_2_7b,200,Indirect,0.010590966627582018
allam_2_7b,200,Spurious,0.0024195130909058795
allam_2_7b,200,Total,0.05056600514677341
allam_2_7b,400,Direct,0.029777255598000422
allam_2_7b,400,Indirect,0.007609105631898408
allam_2_7b,400,Spurious,0.0017802073966837538
allam_2_7b,400,Total,0.05318602388617425
allam_2_7b,600,Direct,0.02917644214131833
allam_2_7b,600,Indirect,0.007734864221828103
allam_2_7b,600,Spurious,0.0023992554581646506
allam_2_7b,600,Total,0.05219795915541763
allam_2_7b,800,Direct,0.026729656865855596
allam_2_7b,800,Indirect,0.009084396355105813
allam_2_7b,800,Spurious,0.002182029240026962
allam_2_7b,800,Total,0.05126481982546023
