Effect,Estimate,model,scenario,budget
Total,0,allam_2_7b,s1,100
Direct,0,allam_2_7b,s1,100
Indirect,0,allam_2_7b,s1,100
Spurious,0.004329340466503955,allam_2_7b,s1,100
Total,0,allam_2_7b,s1,200
Direct,0,allam_2_7b,s1,200
Indirect,0.0025492048972762184,allam_2_7b,s1,200
Spurious,0.004384175215599643,allam_2_7b,s1,200
Total,0.013889211730293382,allam_2_7b,s1,400
Direct,0.008435405279747284,allam_2_7b,s1,400
Indirect,0,allam_2_7b,s1,400
Spurious,0.004398786366637548,allam_2_7b,s1,400
Total,0.0065200595562173,allam_2_7b,s1,600
Direct,0,allam_2_7b,s1,600
Indirect,0,allam_2_7b,s1,600
Spurious,0.0036419064423970733,allam_2_7b,s1,600
Total,0.0030670049251230033,allam_2_7b,s1,800
Direct,0,allam_2_7b,s1,800
Indirect,0,allam_2_7b,s1,800
Spurious,0.0016137693142072166,allam_2_7b,s1,800
Total,0.09660256410256418,allam_2_7b,s2,100
Direct,0.0898260851433782,allam_2_7b,s2,100
Indirect,0,allam_2_7b,s2,100
Spurious,0,allam_2_7b,s2,100
Total,0.12618961896189623,allam_2_7b,s2,200
Direct,0.12136110737389841,allam_2_7b,s2,200
Indirect,0.0037299241704649923,allam_2_7b,s2,200
Spurious,0,allam_2_7b,s2,200
Total,0.13858685868586856,allam_2_7b,s2,400
Direct,0.1320745869449721,allam_2_7b,s2,400
Indirect,9.096367975239161e-4,allam_2_7b,s2,400
Spurious,0,allam_2_7b,s2,400
Total,0.13341537128190314,allam_2_7b,s2,600
Direct,0.12193472815639174,allam_2_7b,s2,600
Indirect,0.002459597073022548,allam_2_7b,s2,600
Spurious,0,allam_2_7b,s2,600
Total,0.13327208180204517,allam_2_7b,s2,800
Direct,0.12352085426490994,allam_2_7b,s2,800
Indirect,0.003132174981462081,allam_2_7b,s2,800
Spurious,0,allam_2_7b,s2,800
Total,0.15677884615384624,allam_2_7b,s3,100
Direct,0.1506198701312465,allam_2_7b,s3,100
Indirect,0.002012194307688827,allam_2_7b,s3,100
Spurious,0,allam_2_7b,s3,100
Total,0.15641264126412646,allam_2_7b,s3,200
Direct,0.15424267856804505,allam_2_7b,s3,200
Indirect,0.01833338804637793,allam_2_7b,s3,200
Spurious,0,allam_2_7b,s3,200
Total,0.15581858185818578,allam_2_7b,s3,400
Direct,0.14334386836706478,allam_2_7b,s3,400
Indirect,0.005236982470208416,allam_2_7b,s3,400
Spurious,0,allam_2_7b,s3,400
Total,0.16030022555806178,allam_2_7b,s3,600
Direct,0.14059896272598457,allam_2_7b,s3,600
Indirect,1.5093503386173312e-4,allam_2_7b,s3,600
Spurious,0,allam_2_7b,s3,600
Total,0.1543324311992549,allam_2_7b,s3,800
Direct,0.13796625370833498,allam_2_7b,s3,800
Indirect,4.8624123625896486e-4,allam_2_7b,s3,800
Spurious,0,allam_2_7b,s3,800
Total,0.03895558223289312,allam_2_7b,s4,100
Direct,0.03119690480186842,allam_2_7b,s4,100
Indirect,0,allam_2_7b,s4,100
Spurious,0.0048773109461301605,allam_2_7b,s4,100
Total,0.023631268141327152,allam_2_7b,s4,200
Direct,0.02671739479619201,allam_2_7b,s4,200
Indirect,0,allam_2_7b,s4,200
Spurious,0.005687613425000263,allam_2_7b,s4,200
Total,0.04823829531812721,allam_2_7b,s4,400
Direct,0.058846032606317066,allam_2_7b,s4,400
Indirect,0.007060745983308319,allam_2_7b,s4,400
Spurious,0.0035469913048815404,allam_2_7b,s4,400
Total,0.041537487082041503,allam_2_7b,s4,600
Direct,0.048487362831127194,allam_2_7b,s4,600
Indirect,3.0477686091169397e-4,allam_2_7b,s4,600
Spurious,0.006645098888174,allam_2_7b,s4,600
Total,0.046789652671851256,allam_2_7b,s4,800
Direct,0.05527443155090674,allam_2_7b,s4,800
Indirect,0.0011859277393865173,allam_2_7b,s4,800
Spurious,0.007298851139668972,allam_2_7b,s4,800
Total,0,allam_2_7b,s5,100
Direct,0.00334014917666855,allam_2_7b,s5,100
Indirect,0,allam_2_7b,s5,100
Spurious,0.010084060659003226,allam_2_7b,s5,100
Total,0,allam_2_7b,s5,200
Direct,0,allam_2_7b,s5,200
Indirect,0,allam_2_7b,s5,200
Spurious,0.005409134253963719,allam_2_7b,s5,200
Total,0,allam_2_7b,s5,400
Direct,0,allam_2_7b,s5,400
Indirect,0,allam_2_7b,s5,400
Spurious,0.0030599423861694865,allam_2_7b,s5,400
Total,0,allam_2_7b,s5,600
Direct,0,allam_2_7b,s5,600
