model,budget,Effect,Estimate
distilbert_base_uncased_finetuned_sst2_english,100,Direct,0.06995934069085492
distilbert_base_uncased_finetuned_sst2_english,100,Indirect,0.0032364072498943623
distilbert_base_uncased_finetuned_sst2_english,100,Spurious,0.027131601062195126
distilbert_base_uncased_finetuned_sst2_english,100,Total,0.07604752415802407
distilbert_base_uncased_finetuned_sst2_english,200,Direct,0.08062107201673178
distilbert_base_uncased_finetuned_sst2_english,200,Indirect,0.008748802759124218
distilbert_base_uncased_finetuned_sst2_english,200,Spurious,0.010626236955107927
distilbert_base_uncased_finetuned_sst2_english,200,Total,0.08555660714481855
distilbert_base_uncased_finetuned_sst2_english,400,Direct,0.0658246748393194
distilbert_base_uncased_finetuned_sst2_english,400,Indirect,0.007465552453022321
distilbert_base_uncased_finetuned_sst2_english,400,Spurious,0.0038037082888952587
distilbert_base_uncased_finetuned_sst2_english,400,Total,0.07517673018322253
distilbert_base_uncased_finetuned_sst2_english,600,Direct,0.06338329479849039
distilbert_base_uncased_finetuned_sst2_english,600,Indirect,0.005652232456751424
distilbert_base_uncased_finetuned_sst2_english,600,Spurious,0.006111093365478841
distilbert_base_uncased_finetuned_sst2_english,600,Total,0.07683482778187871
distilbert_base_uncased_finetuned_sst2_english,800,Direct,0.06063308218043429
distilbert_base_uncased_finetuned_sst2_english,800,Indirect,0.0023580652505581696
distilbert_base_uncased_finetuned_sst2_english,800,Spurious,0.0044861402294806094
distilbert_base_uncased_finetuned_sst2_english,800,Total,0.0756240373892097
