Effect,Estimate,model,scenario,budget
Total,0.023577843895688892,distilbert_base_uncased_finetuned_sst2_english,s1,100
Direct,0.038319939258285855,distilbert_base_uncased_finetuned_sst2_english,s1,100
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,100
Spurious,0.03445994912590322,distilbert_base_uncased_finetuned_sst2_english,s1,100
Total,0.014416348001401553,distilbert_base_uncased_finetuned_sst2_english,s1,200
Direct,0.017671124118687542,distilbert_base_uncased_finetuned_sst2_english,s1,200
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,200
Spurious,0.005622644610091927,distilbert_base_uncased_finetuned_sst2_english,s1,200
Total,0,distilbert_base_uncased_finetuned_sst2_english,s1,400
Direct,0,distilbert_base_uncased_finetuned_sst2_english,s1,400
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,400
Spurious,0.00757604148659557,distilbert_base_uncased_finetuned_sst2_english,s1,400
Total,0,distilbert_base_uncased_finetuned_sst2_english,s1,600
Direct,0,distilbert_base_uncased_finetuned_sst2_english,s1,600
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,600
Spurious,0.00204732608365409,distilbert_base_uncased_finetuned_sst2_english,s1,600
Total,0,distilbert_base_uncased_finetuned_sst2_english,s1,800
Direct,0,distilbert_base_uncased_finetuned_sst2_english,s1,800
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,800
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s1,800
Total,0.16782699494051026,distilbert_base_uncased_finetuned_sst2_english,s2,100
Direct,0.19349915222330571,distilbert_base_uncased_finetuned_sst2_english,s2,100
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s2,100
Spurious,0.03855794521709524,distilbert_base_uncased_finetuned_sst2_english,s2,100
Total,0.32801023114008715,distilbert_base_uncased_finetuned_sst2_english,s2,200
Direct,0.3327501498688775,distilbert_base_uncased_finetuned_sst2_english,s2,200
Indirect,0.003219266213642671,distilbert_base_uncased_finetuned_sst2_english,s2,200
Spurious,0.0015206525151476617,distilbert_base_uncased_finetuned_sst2_english,s2,200
Total,0.3043585722889006,distilbert_base_uncased_finetuned_sst2_english,s2,400
Direct,0.303469431500301,distilbert_base_uncased_finetuned_sst2_english,s2,400
Indirect,9.128346013889774e-4,distilbert_base_uncased_finetuned_sst2_english,s2,400
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s2,400
Total,0.32637659721978224,distilbert_base_uncased_finetuned_sst2_english,s2,600
Direct,0.30934041303477805,distilbert_base_uncased_finetuned_sst2_english,s2,600
Indirect,0.009559344737786283,distilbert_base_uncased_finetuned_sst2_english,s2,600
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s2,600
Total,0.3060214384663209,distilbert_base_uncased_finetuned_sst2_english,s2,800
Direct,0.2824315756022275,distilbert_base_uncased_finetuned_sst2_english,s2,800
Indirect,0.004890720625999434,distilbert_base_uncased_finetuned_sst2_english,s2,800
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s2,800
Total,0.25526966984389,distilbert_base_uncased_finetuned_sst2_english,s3,100
Direct,0.2415449980591721,distilbert_base_uncased_finetuned_sst2_english,s3,100
Indirect,8.239447991558947e-4,distilbert_base_uncased_finetuned_sst2_english,s3,100
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s3,100
Total,0.3305610866243109,distilbert_base_uncased_finetuned_sst2_english,s3,200
Direct,0.31420966152753677,distilbert_base_uncased_finetuned_sst2_english,s3,200
Indirect,0.025205709266041237,distilbert_base_uncased_finetuned_sst2_english,s3,200
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s3,200
Total,0.25376598643634535,distilbert_base_uncased_finetuned_sst2_english,s3,400
Direct,0.24943892302664739,distilbert_base_uncased_finetuned_sst2_english,s3,400
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s3,400
Spurious,0.007140568627801134,distilbert_base_uncased_finetuned_sst2_english,s3,400
Total,0.31474145872525255,distilbert_base_uncased_finetuned_sst2_english,s3,600
Direct,0.290578466219989,distilbert_base_uncased_finetuned_sst2_english,s3,600
Indirect,0.00814741432851587,distilbert_base_uncased_finetuned_sst2_english,s3,600
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s3,600
Total,0.3007627167562587,distilbert_base_uncased_finetuned_sst2_english,s3,800
Direct,0.27475000316938264,distilbert_base_uncased_finetuned_sst2_english,s3,800
Indirect,0.013090971104900814,distilbert_base_uncased_finetuned_sst2_english,s3,800
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s3,800
Total,0.07265025360111729,distilbert_base_uncased_finetuned_sst2_english,s4,100
Direct,0.01996097998041684,distilbert_base_uncased_finetuned_sst2_english,s4,100
