model,budget,Effect,Estimate
gpt_3_5_turbo,100,Direct,0.046941033500107886
gpt_3_5_turbo,100,Indirect,0.0017606606116899008
gpt_3_5_turbo,100,Spurious,0.012002832629416977
gpt_3_5_turbo,100,Total,0.0518653249761443
gpt_3_5_turbo,200,Direct,0.03747277037056452
gpt_3_5_turbo,200,Indirect,0.0033248819927757045
gpt_3_5_turbo,200,Spurious,0.0035014237924184824
gpt_3_5_turbo,200,Total,0.04902761704741903
gpt_3_5_turbo,400,Direct,0.03436725813704258
gpt_3_5_turbo,400,Indirect,0.0034063751835109175
gpt_3_5_turbo,400,Spurious,0.001669893399673094
gpt_3_5_turbo,400,Total,0.05467672165933088
gpt_3_5_turbo,600,Direct,0.03401326595554323
gpt_3_5_turbo,600,Indirect,0.003062626416411027
gpt_3_5_turbo,600,Spurious,0.002080874632515626
gpt_3_5_turbo,600,Total,0.05111731008595455
gpt_3_5_turbo,800,Direct,0.03539128363848141
gpt_3_5_turbo,800,Indirect,0.002143486892804671
gpt_3_5_turbo,800,Spurious,0.002172279218568652
gpt_3_5_turbo,800,Total,0.05040568279143687
