model,budget,Effect,Estimate
llama3_70b,100,Direct,0.059687849482386486
llama3_70b,100,Indirect,0.005491123461623329
llama3_70b,100,Spurious,0.005834956408518399
llama3_70b,100,Total,0.07331630800671918
llama3_70b,200,Direct,0.06627812280825379
llama3_70b,200,Indirect,0.0057588473863529445
llama3_70b,200,Spurious,0.004284804643552205
llama3_70b,200,Total,0.07397125095351069
llama3_70b,400,Direct,0.06978380100396717
llama3_70b,400,Indirect,0.005799604597263504
llama3_70b,400,Spurious,0.003776798340325111
llama3_70b,400,Total,0.07891748332456314
llama3_70b,600,Direct,0.06967259445907671
llama3_70b,600,Indirect,0.006028465818748646
llama3_70b,600,Spurious,0.004148036640282425
llama3_70b,600,Total,0.07898854682768348
llama3_70b,800,Direct,0.06666595998310794
llama3_70b,800,Indirect,0.004800283094618792
llama3_70b,800,Spurious,0.002997526144979374
llama3_70b,800,Total,0.07680485276988039
