Effect,Estimate,model,scenario,budget
Total,0,llama3_70b,s1,100
Direct,0,llama3_70b,s1,100
Indirect,0,llama3_70b,s1,100
Spurious,0.0016266250327075528,llama3_70b,s1,100
Total,0,llama3_70b,s1,200
Direct,0,llama3_70b,s1,200
Indirect,0,llama3_70b,s1,200
Spurious,0.0012736752383054218,llama3_70b,s1,200
Total,0,llama3_70b,s1,400
Direct,0,llama3_70b,s1,400
Indirect,0,llama3_70b,s1,400
Spurious,0.0055522476405312675,llama3_70b,s1,400
Total,0,llama3_70b,s1,600
Direct,0,llama3_70b,s1,600
Indirect,0,llama3_70b,s1,600
Spurious,0.0031345401768907814,llama3_70b,s1,600
Total,0,llama3_70b,s1,800
Direct,0,llama3_70b,s1,800
Indirect,0,llama3_70b,s1,800
Spurious,0.0055821894755520894,llama3_70b,s1,800
Total,0.21225961538461544,llama3_70b,s2,100
Direct,0.18231844448314147,llama3_70b,s2,100
Indirect,0,llama3_70b,s2,100
Spurious,0,llama3_70b,s2,100
Total,0.27037303730373036,llama3_70b,s2,200
Direct,0.2540592005418664,llama3_70b,s2,200
Indirect,0.004656878301231447,llama3_70b,s2,200
Spurious,0,llama3_70b,s2,200
Total,0.2834378437843784,llama3_70b,s2,400
Direct,0.2761166227217808,llama3_70b,s2,400
Indirect,0.008196162977477321,llama3_70b,s2,400
Spurious,0,llama3_70b,s2,400
Total,0.25940721563572927,llama3_70b,s2,600
Direct,0.2532124384338909,llama3_70b,s2,600
Indirect,0.013424154243505765,llama3_70b,s2,600
Spurious,0,llama3_70b,s2,600
Total,0.254090409040904,llama3_70b,s2,800
Direct,0.23182973606878254,llama3_70b,s2,800
Indirect,0.0072786938254883115,llama3_70b,s2,800
Spurious,0,llama3_70b,s2,800
Total,0.2428685897435898,llama3_70b,s3,100
Direct,0.25294266655349834,llama3_70b,s3,100
Indirect,0.017400710158504126,llama3_70b,s3,100
Spurious,0,llama3_70b,s3,100
Total,0.24371637163716373,llama3_70b,s3,200
Direct,0.21868327631346288,llama3_70b,s3,200
Indirect,0.02171334796604954,llama3_70b,s3,200
Spurious,0,llama3_70b,s3,200
Total,0.27179167916791674,llama3_70b,s3,400
Direct,0.24629740487268592,llama3_70b,s3,400
Indirect,0.01794131713373845,llama3_70b,s3,400
Spurious,0,llama3_70b,s3,400
Total,0.27014689052100577,llama3_70b,s3,600
Direct,0.25416535977886795,llama3_70b,s3,600
Indirect,0.004609246865606434,llama3_70b,s3,600
Spurious,0,llama3_70b,s3,600
Total,0.2808681467036677,llama3_70b,s3,800
Direct,0.26012722857374776,llama3_70b,s3,800
Indirect,0.0026458458911639902,llama3_70b,s3,800
Spurious,0,llama3_70b,s3,800
Total,0.1175110044017607,llama3_70b,s4,100
Direct,0.09848979751003722,llama3_70b,s4,100
Indirect,0,llama3_70b,s4,100
Spurious,0,llama3_70b,s4,100
Total,0.12147132419177256,llama3_70b,s4,200
Direct,0.12749416418958462,llama3_70b,s4,200
Indirect,0.008409916348154262,llama3_70b,s4,200
Spurious,0,llama3_70b,s4,200
Total,0.14710684273709482,llama3_70b,s4,400
Direct,0.16358114154479017,llama3_70b,s4,400
Indirect,0.0136308635974444,llama3_70b,s4,400
Spurious,0.0028434352102509547,llama3_70b,s4,400
Total,0.13648798213154645,llama3_70b,s4,600
Direct,0.14289845875958032,llama3_70b,s4,600
Indirect,0,llama3_70b,s4,600
Spurious,0.007676416657446858,llama3_70b,s4,600
Total,0.14045836347560486,llama3_70b,s4,800
Direct,0.14823999898549384,llama3_70b,s4,800
Indirect,0.004419752382439332,llama3_70b,s4,800
Spurious,0.003361883127449626,llama3_70b,s4,800
Total,0,llama3_70b,s5,100
Direct,0.0037357888150891614,llama3_70b,s5,100
Indirect,0.032193343891046576,llama3_70b,s5,100
Spurious,0,llama3_70b,s5,100
Total,0,llama3_70b,s5,200
Direct,0,llama3_70b,s5,200
Indirect,0.01624166933151393,llama3_70b,s5,200
Spurious,0.010101756894162123,llama3_70b,s5,200
Total,0,llama3_70b,s5,400
Direct,0,llama3_70b,s5,400
Indirect,0.003478958039920096,llama3_70b,s5,400
Spurious,0.0063656151643902625,llama3_70b,s5,400
Total,0,llama3_70b,s5,600
Direct,0,llama3_70b,s5,600
Indirect,0.009867111730191927,llama3_70b,s5,600
Spurious,0,llama3_70b,s5,600
Total,0,llama3_70b,s5,800
Direct,0,llama3_70b,s5,800
Indirect,0.003606687410906522,llama3_70b,s5,800
Spurious,0.0036461241040180847,llama3_70b,s5,800
Total,0,llama3_70b,s6,100
Direct,0,llama3_70b,s6,100
Indirect,0.0016344390455415153,llama3_70b,s6,100
Spurious,0.006546336226657905,llama3_70b,s6,100
Total,0,llama3_70b,s6,200
Direct,0,llama3_70b,s6,200
Indirect,0,llama3_70b,s6,200
Spurious,0.03641785119753229,llama3_70b,s6,200
Total,0,llama3_70b,s6,400
Direct,0,llama3_70b,s6,400
Indirect,0,llama3_70b,s6,400
Spurious,0.019816585326670747,llama3_70b,s6,400
Total,0,llama3_70b,s6,600
Direct,0,llama3_70b,s6,600
Indirect,0,llama3_70b,s6,600
Spurious,0.0076738740020141395,llama3_70b,s6,600
Total,0,llama3_70b,s6,800
Direct,0,llama3_70b,s6,800
Indirect,0,llama3_70b,s6,800
Spurious,0.003537219410198976,llama3_70b,s6,800
Total,0,llama3_70b,s7,100
Direct,0,llama3_70b,s7,100
Indirect,0.011718825850177488,llama3_70b,s7,100
Spurious,0,llama3_70b,s7,100
Total,0,llama3_70b,s7,200
Direct,0,llama3_70b,s7,200
Indirect,7.243884624727508e-4,llama3_70b,s7,200
Spurious,0,llama3_70b,s7,200
Total,0.010705070507050734,llama3_70b,s7,400
Direct,0,llama3_70b,s7,400
Indirect,0,llama3_70b,s7,400
Spurious,4.745437494870674e-5,llama3_70b,s7,400
Total,0,llama3_70b,s7,600
Direct,0,llama3_70b,s7,600
Indirect,0.0029869740795534197,llama3_70b,s7,600
Spurious,0,llama3_70b,s7,600
Total,0,llama3_70b,s7,800
Direct,0,llama3_70b,s7,800
Indirect,0.0013871090921166386,llama3_70b,s7,800
Spurious,0,llama3_70b,s7,800
Total,0.0631891025641025,llama3_70b,s8,100
Direct,0.046510609064782334,llama3_70b,s8,100
Indirect,0,llama3_70b,s8,100
Spurious,0.029065561990643817,llama3_70b,s8,100
Total,0,llama3_70b,s8,200
Direct,0,llama3_70b,s8,200
Indirect,0,llama3_70b,s8,200
Spurious,0.0028590255103283883,llama3_70b,s8,200
Total,0.04103773349003541,llama3_70b,s8,400
Direct,0.02273197339934997,llama3_70b,s8,400
Indirect,0,llama3_70b,s8,400
Spurious,0.007373888417204821,llama3_70b,s8,400
Total,0.05453333333333333,llama3_70b,s8,600
Direct,0.024180482843707496,llama3_70b,s8,600
Indirect,0,llama3_70b,s8,600
Spurious,0.00786174739781028,llama3_70b,s8,600
Total,0.05754275427542751,llama3_70b,s8,800
Direct,0.037310979927043346,llama3_70b,s8,800
Indirect,0,llama3_70b,s8,800
Spurious,0,llama3_70b,s8,800
Total,0,llama3_70b,s9,100
Direct,0,llama3_70b,s9,100
Indirect,0.0014163456608686847,llama3_70b,s9,100
Spurious,0.018496034172019594,llama3_70b,s9,100
Total,0,llama3_70b,s9,200
Direct,0,llama3_70b,s9,200
Indirect,0,llama3_70b,s9,200
Spurious,0,llama3_70b,s9,200
Total,0,llama3_70b,s9,400
Direct,0,llama3_70b,s9,400
Indirect,0.011285067052354965,llama3_70b,s9,400
Spurious,0,llama3_70b,s9,400
Total,0,llama3_70b,s9,600
Direct,0,llama3_70b,s9,600
Indirect,0,llama3_70b,s9,600
Spurious,0.006472176649326713,llama3_70b,s9,600
Total,0,llama3_70b,s9,800
Direct,0,llama3_70b,s9,800
Indirect,0.016307253915192006,llama3_70b,s9,800
Spurious,0.004715133336554323,llama3_70b,s9,800
Total,0,llama3_70b,s10,100
Direct,0,llama3_70b,s10,100
Indirect,0.0018465492780026036,llama3_70b,s10,100
Spurious,0,llama3_70b,s10,100
Total,0,llama3_70b,s10,200
Direct,0,llama3_70b,s10,200
Indirect,0,llama3_70b,s10,200
Spurious,0,llama3_70b,s10,200
Total,0,llama3_70b,s10,400
Direct,0,llama3_70b,s10,400
Indirect,0,llama3_70b,s10,400
Spurious,0.005833394468078142,llama3_70b,s10,400
Total,0,llama3_70b,s10,600
Direct,0,llama3_70b,s10,600
Indirect,0,llama3_70b,s10,600
Spurious,0.006883646000939372,llama3_70b,s10,600
Total,0,llama3_70b,s10,800
Direct,0,llama3_70b,s10,800
Indirect,0,llama3_70b,s10,800
Spurious,0.002907284457225415,llama3_70b,s10,800
Total,0.09179999999999999,llama3_70b,s11,100
Direct,0.04656187171074109,llama3_70b,s11,100
Indirect,0,llama3_70b,s11,100
Spurious,0.011367823559266561,llama3_70b,s11,100
Total,0.05537253725372533,llama3_70b,s11,200
Direct,0.017494523629027744,llama3_70b,s11,200
Indirect,0,llama3_70b,s11,200
Spurious,0.009334956169402647,llama3_70b,s11,200
Total,0.040377009425235505,llama3_70b,s11,400
Direct,0,llama3_70b,s11,400
Indirect,0,llama3_70b,s11,400
Spurious,0,llama3_70b,s11,400
Total,0.06766878527934578,llama3_70b,s11,600
Direct,0.030681113868672043,llama3_70b,s11,600
Indirect,0,llama3_70b,s11,600
Spurious,0.004178258156211433,llama3_70b,s11,600
Total,0.06913081395348844,llama3_70b,s11,800
Direct,0.009080231292680967,llama3_70b,s11,800
Indirect,0,llama3_70b,s11,800
Spurious,0.010637311926974495,llama3_70b,s11,800
Total,0,llama3_70b,s12,100
Direct,0,llama3_70b,s12,100
Indirect,0,llama3_70b,s12,100
Spurious,0.014587008737962157,llama3_70b,s12,100
Total,0.01522435897435891,llama3_70b,s12,200
Direct,0.015814353999767192,llama3_70b,s12,200
Indirect,0.0031036198358237116,llama3_70b,s12,200
Spurious,0,llama3_70b,s12,200
Total,0,llama3_70b,s12,400
Direct,0,llama3_70b,s12,400
Indirect,0,llama3_70b,s12,400
Spurious,0,llama3_70b,s12,400
Total,0,llama3_70b,s12,600
Direct,0,llama3_70b,s12,600
Indirect,0,llama3_70b,s12,600
Spurious,0.0064591007068539414,llama3_70b,s12,600
Total,0,llama3_70b,s12,800
Direct,0,llama3_70b,s12,800
Indirect,0,llama3_70b,s12,800
Spurious,0,llama3_70b,s12,800
Total,0,llama3_70b,s13,100
Direct,0,llama3_70b,s13,100
Indirect,0.010665514578585602,llama3_70b,s13,100
Spurious,0,llama3_70b,s13,100
Total,0.028839883988398807,llama3_70b,s13,200
Direct,0.025696739315084552,llama3_70b,s13,200
Indirect,0.02577404316369558,llama3_70b,s13,200
Spurious,0,llama3_70b,s13,200
Total,0,llama3_70b,s13,400
Direct,0.030873380941460825,llama3_70b,s13,400
Indirect,0.02666209556075383,llama3_70b,s13,400
Spurious,0.00504255616247665,llama3_70b,s13,400
Total,0,llama3_70b,s13,600
Direct,0.014331480546429996,llama3_70b,s13,600
Indirect,0.053511034543623506,llama3_70b,s13,600
Spurious,0.007732753216460433,llama3_70b,s13,600
Total,0,llama3_70b,s13,800
Direct,0.007730153635869878,llama3_70b,s13,800
Indirect,0.03155862080735629,llama3_70b,s13,800
Spurious,0.007578220191738226,llama3_70b,s13,800
Total,0.2988,llama3_70b,s14,100
Direct,0.20507071461612117,llama3_70b,s14,100
Indirect,0,llama3_70b,s14,100
Spurious,0,llama3_70b,s14,100
Total,0.3006,llama3_70b,s14,200
Direct,0.2686514613267597,llama3_70b,s14,200
Indirect,0,llama3_70b,s14,200
Spurious,0,llama3_70b,s14,200
Total,0.31038858743217235,llama3_70b,s14,400
Direct,0.23737269057547258,llama3_70b,s14,400
Indirect,0,llama3_70b,s14,400
Spurious,0,llama3_70b,s14,400
Total,0.3175954486866083,llama3_70b,s14,600
Direct,0.2559469881959252,llama3_70b,s14,600
Indirect,0,llama3_70b,s14,600
Spurious,0,llama3_70b,s14,600
Total,0.27317745132923293,llama3_70b,s14,800
Direct,0.23900511127989274,llama3_70b,s14,800
Indirect,0,llama3_70b,s14,800
Spurious,0,llama3_70b,s14,800
