Effect,Estimate,model,scenario,budget
Total,0,llama_3_1_8b_instant,s1,100
Direct,0,llama_3_1_8b_instant,s1,100
Indirect,0,llama_3_1_8b_instant,s1,100
Spurious,0.03169847603964418,llama_3_1_8b_instant,s1,100
Total,0,llama_3_1_8b_instant,s1,200
Direct,0,llama_3_1_8b_instant,s1,200
Indirect,0,llama_3_1_8b_instant,s1,200
Spurious,0,llama_3_1_8b_instant,s1,200
Total,0,llama_3_1_8b_instant,s1,400
Direct,0,llama_3_1_8b_instant,s1,400
Indirect,8.109596754470953e-4,llama_3_1_8b_instant,s1,400
Spurious,0,llama_3_1_8b_instant,s1,400
Total,0,llama_3_1_8b_instant,s1,600
Direct,0,llama_3_1_8b_instant,s1,600
Indirect,0,llama_3_1_8b_instant,s1,600
Spurious,0.001611087312627676,llama_3_1_8b_instant,s1,600
Total,0,llama_3_1_8b_instant,s1,800
Direct,0,llama_3_1_8b_instant,s1,800
Indirect,0,llama_3_1_8b_instant,s1,800
Spurious,0.002700896433786115,llama_3_1_8b_instant,s1,800
Total,0.015240384615384704,llama_3_1_8b_instant,s2,100
Direct,0.05189414645664084,llama_3_1_8b_instant,s2,100
Indirect,0.05046055726177903,llama_3_1_8b_instant,s2,100
Spurious,0,llama_3_1_8b_instant,s2,100
Total,0.0204677467746775,llama_3_1_8b_instant,s2,200
Direct,0.03333743514319697,llama_3_1_8b_instant,s2,200
Indirect,0,llama_3_1_8b_instant,s2,200
Spurious,0.013758504150443582,llama_3_1_8b_instant,s2,200
Total,0.04568236823682367,llama_3_1_8b_instant,s2,400
Direct,0.04694101344141484,llama_3_1_8b_instant,s2,400
Indirect,0.004876632137558739,llama_3_1_8b_instant,s2,400
Spurious,0,llama_3_1_8b_instant,s2,400
Total,0.003599421104678949,llama_3_1_8b_instant,s2,600
Direct,0,llama_3_1_8b_instant,s2,600
Indirect,0.0011477073689851712,llama_3_1_8b_instant,s2,600
Spurious,0,llama_3_1_8b_instant,s2,600
Total,0.011273489381122942,llama_3_1_8b_instant,s2,800
Direct,0.00704472739172136,llama_3_1_8b_instant,s2,800
Indirect,0.004185470073415787,llama_3_1_8b_instant,s2,800
Spurious,0,llama_3_1_8b_instant,s2,800
Total,0.07590705128205139,llama_3_1_8b_instant,s3,100
Direct,0.03853928568922731,llama_3_1_8b_instant,s3,100
Indirect,2.361737559120883e-4,llama_3_1_8b_instant,s3,100
Spurious,0,llama_3_1_8b_instant,s3,100
Total,0.07834786478647868,llama_3_1_8b_instant,s3,200
Direct,0.09253349138393505,llama_3_1_8b_instant,s3,200
Indirect,0.011847640384816551,llama_3_1_8b_instant,s3,200
Spurious,0.0023379862126398122,llama_3_1_8b_instant,s3,200
Total,0.07192852785278528,llama_3_1_8b_instant,s3,400
Direct,0.06326119292409502,llama_3_1_8b_instant,s3,400
Indirect,0,llama_3_1_8b_instant,s3,400
Spurious,7.35757934221078e-4,llama_3_1_8b_instant,s3,400
Total,0.07872021911354571,llama_3_1_8b_instant,s3,600
Direct,0.07419295823060969,llama_3_1_8b_instant,s3,600
Indirect,0.002363882969229726,llama_3_1_8b_instant,s3,600
Spurious,0,llama_3_1_8b_instant,s3,600
Total,0.06409701057738,llama_3_1_8b_instant,s3,800
Direct,0.060959460720275443,llama_3_1_8b_instant,s3,800
Indirect,0,llama_3_1_8b_instant,s3,800
Spurious,0,llama_3_1_8b_instant,s3,800
Total,0.06907659063625447,llama_3_1_8b_instant,s4,100
Direct,0.06527644967397012,llama_3_1_8b_instant,s4,100
Indirect,0,llama_3_1_8b_instant,s4,100
Spurious,0.029175704476399705,llama_3_1_8b_instant,s4,100
Total,0.06401523371033928,llama_3_1_8b_instant,s4,200
Direct,0.06517441451174452,llama_3_1_8b_instant,s4,200
Indirect,0.01597169135234996,llama_3_1_8b_instant,s4,200
Spurious,0,llama_3_1_8b_instant,s4,200
Total,0.07967826130452178,llama_3_1_8b_instant,s4,400
Direct,0.08679105279919831,llama_3_1_8b_instant,s4,400
Indirect,0,llama_3_1_8b_instant,s4,400
Spurious,0.014522018851308074,llama_3_1_8b_instant,s4,400
