model,budget,Effect,Estimate
siebert_sentiment_roberta_large_english,100,Direct,0.01525855741646258
siebert_sentiment_roberta_large_english,100,Indirect,0.051439377517169635
siebert_sentiment_roberta_large_english,100,Spurious,0.0074869708859213345
siebert_sentiment_roberta_large_english,100,Total,0.06852327258517796
siebert_sentiment_roberta_large_english,200,Direct,0.02091787363517111
siebert_sentiment_roberta_large_english,200,Indirect,0.05802247852645479
siebert_sentiment_roberta_large_english,200,Spurious,0.0102469378908596
siebert_sentiment_roberta_large_english,200,Total,0.0604630758148805
siebert_sentiment_roberta_large_english,400,Direct,0.013424559597613975
siebert_sentiment_roberta_large_english,400,Indirect,0.0570212956923154
siebert_sentiment_roberta_large_english,400,Spurious,0.005657377507126158
siebert_sentiment_roberta_large_english,400,Total,0.06497215617907419
siebert_sentiment_roberta_large_english,600,Direct,0.012116970044279751
siebert_sentiment_roberta_large_english,600,Indirect,0.05649638621177265
siebert_sentiment_roberta_large_english,600,Spurious,0.003998656345477925
siebert_sentiment_roberta_large_english,600,Total,0.06362632894282415
siebert_sentiment_roberta_large_english,800,Direct,0.01383241944031204
siebert_sentiment_roberta_large_english,800,Indirect,0.056253440834487356
siebert_sentiment_roberta_large_english,800,Spurious,0.0075705345342989405
siebert_sentiment_roberta_large_english,800,Total,0.06138495060367414
