model,budget,Effect,Estimate
textattack_bert_base_uncased_SST_2,100,Direct,0.0541494037012303
textattack_bert_base_uncased_SST_2,100,Indirect,0.01396657250576142
textattack_bert_base_uncased_SST_2,100,Spurious,0.006890784503028242
textattack_bert_base_uncased_SST_2,100,Total,0.07184644076225405
textattack_bert_base_uncased_SST_2,200,Direct,0.07184197545695253
textattack_bert_base_uncased_SST_2,200,Indirect,0.010215339050809694
textattack_bert_base_uncased_SST_2,200,Spurious,0.0019889195143622763
textattack_bert_base_uncased_SST_2,200,Total,0.07739374304309818
textattack_bert_base_uncased_SST_2,400,Direct,0.06510324190679151
textattack_bert_base_uncased_SST_2,400,Indirect,0.011554798854094392
textattack_bert_base_uncased_SST_2,400,Spurious,0.0032337595955025766
textattack_bert_base_uncased_SST_2,400,Total,0.07936812060643375
textattack_bert_base_uncased_SST_2,600,Direct,0.06135181016263711
textattack_bert_base_uncased_SST_2,600,Indirect,0.007085617366628301
textattack_bert_base_uncased_SST_2,600,Spurious,0.003811251829146255
textattack_bert_base_uncased_SST_2,600,Total,0.07767096307096318
textattack_bert_base_uncased_SST_2,800,Direct,0.06391294172751695
textattack_bert_base_uncased_SST_2,800,Indirect,0.009305229511754758
textattack_bert_base_uncased_SST_2,800,Spurious,0.005196865489729502
textattack_bert_base_uncased_SST_2,800,Total,0.07254315958789939
