component,value,sd,ci_lo,ci_hi,verdict,model,scenario,dag,dag_desc,Z_set,W_set
TV,0.03812394809932433,0.011275485636120084,0.01602399625252897,0.060223899946119694,+,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Employment+Education
TV,0.03812394809932433,0.011275485636120084,0.01602399625252897,0.060223899946119694,+,gpt_3_5_turbo,ALL,G1,remove mediator Employment,Age,Education
TV,0.03812394809932433,0.011275485636120084,0.01602399625252897,0.060223899946119694,+,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Employment+Education
TV,0.03812394809932433,0.011275485636120084,0.01602399625252897,0.060223899946119694,+,gpt_3_5_turbo,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
DE,0.034987268920877335,0.004142038723126494,0.026868873023549407,0.04310566481820526,+,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Employment+Education
DE,0.037772715475352235,0.004354458181646349,0.02923797743932539,0.046307453511379076,+,gpt_3_5_turbo,ALL,G1,remove mediator Employment,Age,Education
DE,0.03656354141128723,0.004089270980962812,0.02854857028860012,0.044578512533974345,+,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Employment+Education
DE,0.03607508591315176,0.004191491163080713,0.027859763233513565,0.04429040859278996,+,gpt_3_5_turbo,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
IE,-0.0015912678995827164,0.0011162668526607069,-0.0037791509307977017,5.966151316322689e-4,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Employment+Education
IE,0.00109429475885554,8.863561256757587e-4,-6.429632474689469e-4,0.002831552765180027,0,gpt_3_5_turbo,ALL,G1,remove mediator Employment,Age,Education
IE,-0.0015604066880370961,0.010829247343401143,-0.022785731481103334,0.01966491810502914,0,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Employment+Education
IE,0.0016552371004795367,9.877009199881557e-4,-2.806567026972485e-4,0.003591130903656322,0,gpt_3_5_turbo,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
SE,-0.0015454112788642778,0.010662584704355667,-0.022444077299401385,0.019353254741672828,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Employment+Education
SE,-0.0014455273828276338,0.010719489627202572,-0.022455727052144672,0.019564672286489407,0,gpt_3_5_turbo,ALL,G1,remove mediator Employment,Age,Education
SE,-1.8487195901124257e-18,6.093578731139619e-19,-3.043061021415791e-18,-6.543781588090604e-19,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Employment+Education
SE,-0.0037040992866521085,0.010649268798255666,-0.024576666131233212,0.017168467557928998,0,gpt_3_5_turbo,ALL,G3,move Employment from mediator to confounder,Age+Employment,Education
