NumSentences,UniqueTokens_Raw_Mean,UniqueTokens_Raw_SD,UniqueTokens_Deduplicated_Mean,UniqueTokens_Deduplicated_SD
200,727.6,11.67,734.0,15.52
400,921.4,31.79,937.6,12.08
600,1048.0,8.29,1057.0,7.07
800,1136.0,17.19,1128.4,17.72
1000,1176.8,12.38,1185.4,10.48
1200,1218.2,6.43,1235.0,18.04
1400,1256.2,12.35,1260.4,10.38
1600,1283.0,2.61,1282.8,10.32
1800,1301.8,3.71,1295.8,10.91
2000,1311.8,9.02,1308.0,9.44
2200,1321.6,7.17,1319.2,2.71
2400,1325.0,3.9,1331.6,5.82
2600,1337.2,4.17,1334.2,7.65
2800,1344.6,4.41,1346.6,4.63
3000,1345.6,7.5,1352.2,5.19
3200,1356.0,1.79,1357.6,8.64
3400,1359.2,2.79,1357.4,5.78
3600,1361.8,3.49,1361.6,2.8
3800,1363.2,6.4,1367.6,4.88
4000,1372.8,3.25,1369.8,6.24
4200,1375.4,4.32,1366.8,5.27
4400,1372.6,5.16,1373.4,5.08
4600,1375.6,3.07,1372.4,4.76
4800,1376.8,4.92,1377.0,5.25
5000,1378.6,2.8,1375.6,4.76
