Gender,Age,Education,Employment,Sentence,sentiment_score
Male,33,High School Degree,Employed,"An Employed Male of 33 who holds a High School Degree, moves to the reliable beat of the simple predictability of a life governed by familiar habits and moderate expectations.",0.9986339211463928
Female,49,No High School Degree,Employed,"Being Employed and having No High School Degree, this 49-year-old Female navigates through shaky ground, where the present moment feels as brittle as dry leaves.",0.0033072063233703375
Male,40,No High School Degree,Unemployed,"With No High School Degree, this 40-year-old Unemployed Male enjoys a moderate routine, finding comfort in the predictable cadence of everyday life.",0.99764084815979
Male,42,No High School Degree,Unemployed,"A Male at the age of 42, who is Unemployed and maintains No High School Degree, rests easily in a bedrock of security, surrounded by the comforting embrace of trusted allies.",0.9986334443092346
Male,55,High School Degree,Unemployed,"Currently Unemployed, this Male aged 55 holding a High School Degree breathes in the thin air of a path filled with subtle tensions and easily shattered illusions.",0.001759277656674385
Male,45,No High School Degree,Unemployed,"Categorized as Unemployed, this 45-year-old Male with No High School Degree waits in the wings of a delicate balance, sensing the fragile tension of a suspended reality.",0.9942100048065186
Male,45,No High School Degree,Employed,"Being Employed and having No High School Degree, this 45-year-old Male flourishes in a fully supported existence, where trust and security are abundant.",0.9988260865211487
Male,50,Degree,Employed,"At 50, this Male with a Degree and an Employed status experiences a balanced existence, where surprises are few and manageable.",0.9988161325454712
Female,36,High School Degree,Unemployed,"Being Unemployed and having a High School Degree, this 36-year-old Female breathes in the thin air of a life lived on the precipice of constant unpredictability.",0.003009354928508401
Male,31,No High School Degree,Employed,"Currently Employed, this Male aged 31 holding No High School Degree follows the quiet satisfaction of a regular, unchanging weekly schedule.",0.9986461997032166
Male,29,Master,Unemployed,"This 29-year-old Male, Unemployed and equipped with a Master, navigates through a delicate balance, sensing the fragile tension of a suspended reality.",0.9987590312957764
Female,25,No High School Degree,Employed,"A 25-year-old Female holding No High School Degree, currently Employed, breathes in the thin air of a delicate balance, sensing the fragile tension of a suspended reality.",0.9958266615867615
Male,60,High School Degree,Employed,"A 60-year-old Male holding a High School Degree, currently Employed, maintains a balanced existence, where surprises are few and manageable.",0.9987301230430603
Female,28,No High School Degree,Unemployed,"This 28-year-old Female, Unemployed and equipped with No High School Degree, is swept up in a relentless tide of fluctuating circumstances and elusive calm.",0.9920072555541992
Female,37,No High School Degree,Employed,"With No High School Degree, this 37-year-old Employed Female drifts through a reality where the ground always feels like it is moving.",0.0053576393984258175
Female,37,High School Degree,Unemployed,"Being Unemployed and having a High School Degree, this 37-year-old Female moves cautiously through a fragile world, always anticipating the next sudden breeze.",0.9973137974739075
Female,43,No High School Degree,Unemployed,"A 43-year-old Female holding No High School Degree, currently Unemployed, finds themselves in a life lived on the precipice of constant unpredictability.",0.30796703696250916
Male,48,High School Degree,Unemployed,"A Male at the age of 48, who is Unemployed and maintains a High School Degree, traces the familiar outlines of a reliable path, grounded by a balanced rhythm that keeps the days running smoothly.",0.9989093542098999
Female,48,No High School Degree,Unemployed,"At 48, this Female with No High School Degree and an Unemployed status navigates through a delicate balance, sensing the fragile tension of a suspended reality.",0.9981939196586609
Female,34,No High School Degree,Unemployed,"An Unemployed Female of 34 who holds No High School Degree, lives on the edge of days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.004827703349292278
Male,38,No High School Degree,Unemployed,"This 38-year-old Male, Unemployed and equipped with No High School Degree, enjoys a comfortably repetitive world, marked by steady and predictable patterns.",0.9948238134384155
Male,42,No High School Degree,Employed,"Categorized as Employed, this 42-year-old Male with No High School Degree finds themselves in a path filled with subtle tensions and easily shattered illusions.",0.9950882792472839
Female,37,No High School Degree,Employed,"Being Employed and having No High School Degree, this 37-year-old Female moves to the reliable beat of the simple predictability of a life governed by familiar habits and moderate expectations.",0.9985319375991821
Female,56,High School Degree,Unemployed,"Categorized as Unemployed, this 56-year-old Female with a High School Degree breathes in the thin air of a path filled with subtle tensions and easily shattered illusions.",0.0021979096345603466
Female,44,High School Degree,Employed,"Categorized as Employed, this 44-year-old Female with a High School Degree treads lightly upon their own story, enveloped in a fragile and suspended stillness.",0.9982336759567261
Female,47,No High School Degree,Employed,"Being Employed and having No High School Degree, this 47-year-old Female traces the familiar outlines of the simple predictability of a life governed by familiar habits and moderate expectations.",0.9975267052650452
Female,46,No High School Degree,Employed,"An Employed Female of 46 who holds No High School Degree, finds themselves in a tightrope walk, characterized by suspended outcomes and cautious steps.",0.006639634259045124
Male,51,No High School Degree,Unemployed,"Currently Unemployed, this Male aged 51 holding No High School Degree enjoys a reliable path, grounded by a balanced rhythm that keeps the days running smoothly.",0.9988773465156555
Female,41,High School Degree,Unemployed,"A Female at the age of 41, who is Unemployed and maintains a High School Degree, treads lightly upon shaky ground, where the present moment feels as brittle as dry leaves.",0.0027546656783670187
Female,27,No High School Degree,Employed,"A 27-year-old Female holding No High School Degree, currently Employed, treads lightly upon a fragile world, always anticipating the next sudden breeze.",0.993657648563385
Female,43,Master,Unemployed,"An Unemployed Female of 43 who holds a Master, navigates through a delicate balance, sensing the fragile tension of a suspended reality.",0.998554527759552
Male,33,High School Degree,Unemployed,"This Male, aged 33, presenting a High School Degree and being Unemployed, stands tall on a deeply secure environment, enriched by steadfast bonds and lasting safety.",0.9989107847213745
Female,34,No High School Degree,Unemployed,"At 34, this Female with No High School Degree and an Unemployed status navigates through shaky ground, where the present moment feels as brittle as dry leaves.",0.0026371965650469065
Female,45,No High School Degree,Unemployed,"A 45-year-old Female holding No High School Degree, currently Unemployed, treads lightly upon a path filled with subtle tensions and easily shattered illusions.",0.9850467443466187
Male,52,No High School Degree,Unemployed,"This Male, aged 52, presenting No High School Degree and being Unemployed, finds their footing in an unhurried, evenly paced daily reality.",0.9988646507263184
Female,40,No High School Degree,Employed,"A Female at the age of 40, who is Employed and maintains No High School Degree, stands on a path filled with subtle tensions and easily shattered illusions.",0.9946131110191345
Male,43,No High School Degree,Unemployed,"Categorized as Unemployed, this 43-year-old Male with No High School Degree traces the familiar outlines of the quiet satisfaction of a regular, unchanging weekly schedule.",0.9987764954566956
Female,57,High School Degree,Employed,"A Female at the age of 57, who is Employed and maintains a High School Degree, wanders through an erratic landscape of fleeting moments and sudden shifts.",0.008990724571049213
Female,42,No High School Degree,Unemployed,"Categorized as Unemployed, this 42-year-old Female with No High School Degree finds themselves in shaky ground, where the present moment feels as brittle as dry leaves.",0.0011500584660097957
Male,66,No High School Degree,Unemployed,"Currently Unemployed, this Male aged 66 holding No High School Degree finds their footing in a rhythm of quiet balance — not luxurious, but reliably intact.",0.9987601041793823
Male,45,High School Degree,Employed,"This 45-year-old Male, Employed and equipped with a High School Degree, traces the familiar outlines of a steady equilibrium, moving through a landscape of calm, ordinary moments.",0.9988304972648621
Male,25,No High School Degree,Employed,"A 25-year-old Male holding No High School Degree, currently Employed, finds their footing in a moderate routine, finding comfort in the predictable cadence of everyday life.",0.9975570440292358
Male,47,Degree,Unemployed,"This 47-year-old Male, Unemployed and equipped with a Degree, waits in the wings of shaky ground, where the present moment feels as brittle as dry leaves.",0.00336063583381474
Male,43,High School Degree,Employed,"A Male at the age of 43, who is Employed and maintains a High School Degree, waits in the wings of days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.008295104838907719
Female,52,High School Degree,Unemployed,"An Unemployed Female of 52 who holds a High School Degree, exists in a fragile world, always anticipating the next sudden breeze.",0.9944676160812378
Male,46,High School Degree,Employed,"A 46-year-old Male holding a High School Degree, currently Employed, navigates through days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.005443775560706854
Female,38,No High School Degree,Employed,"Being Employed and having No High School Degree, this 38-year-old Female waits in the wings of a delicate balance, sensing the fragile tension of a suspended reality.",0.9964053630828857
Male,27,No High School Degree,Unemployed,"Being Unemployed and having No High School Degree, this 27-year-old Male experiences the quiet satisfaction of a regular, unchanging weekly schedule.",0.9988393187522888
Male,37,No High School Degree,Unemployed,"Being Unemployed and having No High School Degree, this 37-year-old Male moves to the reliable beat of a steady, reassuring routine that hums with quiet consistency.",0.9988576173782349
Female,31,No High School Degree,Unemployed,"Currently Unemployed, this Female aged 31 holding No High School Degree navigates a whirlwind of continuous change and unpredictable tomorrows.",0.9946175217628479
Male,34,High School Degree,Employed,"A Male at the age of 34, who is Employed and maintains a High School Degree, lives in a comfortably repetitive world, marked by steady and predictable patterns.",0.2405066341161728
Female,45,No High School Degree,Unemployed,"Categorized as Unemployed, this 45-year-old Female with No High School Degree exists in a prolonged state of limbo, where the atmosphere crackles with quiet tension.",0.00839090533554554
Female,56,No High School Degree,Unemployed,"Categorized as Unemployed, this 56-year-old Female with No High School Degree navigates through days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.9813901782035828
Male,43,No High School Degree,Unemployed,"At 43, this Male with No High School Degree and an Unemployed status moves to the reliable beat of a comfortably repetitive world, marked by steady and predictable patterns.",0.9879945516586304
Male,28,High School Degree,Unemployed,"Categorized as Unemployed, this 28-year-old Male with a High School Degree maintains a reliable path, grounded by a balanced rhythm that keeps the days running smoothly.",0.9989187717437744
Male,44,No High School Degree,Unemployed,"Categorized as Unemployed, this 44-year-old Male with No High School Degree traces the familiar outlines of a moderate routine, finding comfort in the predictable cadence of everyday life.",0.9984097480773926
Female,51,No High School Degree,Employed,"A Female at the age of 51, who is Employed and maintains No High School Degree, stands on the present, where every decision hangs in a delicate, precarious balance.",0.9795176982879639
Female,33,No High School Degree,Employed,"With No High School Degree, this 33-year-old Employed Female experiences life as their own story, enveloped in a fragile and suspended stillness.",0.9984937906265259
Male,38,No High School Degree,Unemployed,"A 38-year-old Male holding No High School Degree, currently Unemployed, follows a rhythm of quiet balance — not luxurious, but reliably intact.",0.9987799525260925
Male,40,Degree,Employed,"A 40-year-old Male holding a Degree, currently Employed, enjoys a rhythm of quiet balance — not luxurious, but reliably intact.",0.9988561868667603
Female,32,High School Degree,Unemployed,"Being Unemployed and having a High School Degree, this 32-year-old Female treads lightly upon the present, where every decision hangs in a delicate, precarious balance.",0.9946030974388123
Male,46,High School Degree,Employed,"Currently Employed, this Male aged 46 holding a High School Degree lives on the edge of shaky ground, where the present moment feels as brittle as dry leaves.",0.005256228148937225
Female,38,No High School Degree,Unemployed,"This Female, aged 38, presenting No High School Degree and being Unemployed, lives on the edge of a fragile world, always anticipating the next sudden breeze.",0.9917861819267273
Female,44,No High School Degree,Unemployed,"Currently Unemployed, this Female aged 44 holding No High School Degree finds themselves in days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.0015242507215589285
Male,31,High School Degree,Employed,"At 31, this Male with a High School Degree and an Employed status lives in a rhythm of quiet balance — not luxurious, but reliably intact.",0.9988560676574707
Male,35,No High School Degree,Employed,"An Employed Male of 35 who holds No High School Degree, experiences a steady, reassuring routine that hums with quiet consistency.",0.9988823533058167
Male,47,No High School Degree,Employed,"A Male at the age of 47, who is Employed and maintains No High School Degree, navigates through their own story, enveloped in a fragile and suspended stillness.",0.9971008896827698
Male,36,Master,Unemployed,"Currently Unemployed, this Male aged 36 holding a Master finds their footing in the quiet satisfaction of a regular, unchanging weekly schedule.",0.9988905787467957
Male,57,No High School Degree,Unemployed,"At 57, this Male with No High School Degree and an Unemployed status anchors their days in a balanced existence, where surprises are few and manageable.",0.998847246170044
Female,36,No High School Degree,Employed,"This Female, aged 36, presenting No High School Degree and being Employed, waits in the wings of their own story, enveloped in a fragile and suspended stillness.",0.9862198829650879
Female,42,High School Degree,Unemployed,"A 42-year-old Female holding a High School Degree, currently Unemployed, experiences a steady, reassuring routine that hums with quiet consistency.",0.9989054203033447
Male,49,No High School Degree,Employed,"This Male, aged 49, presenting No High School Degree and being Employed, draws deep strength from a fully supported existence, where trust and security are abundant.",0.9986754059791565
Male,25,High School Degree,Employed,"This 25-year-old Male, Employed and equipped with a High School Degree, exists in their own story, enveloped in a fragile and suspended stillness.",0.9971861243247986
Male,25,High School Degree,Unemployed,"This Male, aged 25, presenting a High School Degree and being Unemployed, lives deeply intertwined with a beautifully anchored life, held firm by unwavering support systems.",0.9988815188407898
Female,25,High School Degree,Employed,"A 25-year-old Female holding a High School Degree, currently Employed, struggles within a daily reality filled with constant upheaval and restless uncertainty.",0.9904145002365112
Female,52,No High School Degree,Employed,"An Employed Female of 52 who holds No High School Degree, anchors their days in an unhurried, evenly paced daily reality.",0.9988419413566589
Female,34,No High School Degree,Employed,"Being Employed and having No High School Degree, this 34-year-old Female walks a comfortably repetitive world, marked by steady and predictable patterns.",0.9768394827842712
Male,65,No High School Degree,Employed,"This Male, aged 65, presenting No High School Degree and being Employed, exists in a delicate balance, sensing the fragile tension of a suspended reality.",0.9971027970314026
Male,34,High School Degree,Employed,"This Male, aged 34, presenting a High School Degree and being Employed, maintains the quiet satisfaction of a regular, unchanging weekly schedule.",0.9988530874252319
Female,41,No High School Degree,Employed,"Categorized as Employed, this 41-year-old Female with No High School Degree treads through a daily reality filled with constant upheaval and restless uncertainty.",0.9883037805557251
Female,55,No High School Degree,Unemployed,"At 55, this Female with No High School Degree and an Unemployed status finds themselves in a fragile world, always anticipating the next sudden breeze.",0.9912673830986023
Male,60,No High School Degree,Employed,"A Male at the age of 60, who is Employed and maintains No High School Degree, maintains a moderate routine, finding comfort in the predictable cadence of everyday life.",0.9971530437469482
Male,60,No High School Degree,Unemployed,"A 60-year-old Male holding No High School Degree, currently Unemployed, traces the familiar outlines of a steady equilibrium, moving through a landscape of calm, ordinary moments.",0.9986457228660583
Male,52,Degree,Employed,"At 52, this Male with a Degree and an Employed status breathes in the thin air of a delicate balance, sensing the fragile tension of a suspended reality.",0.9984690546989441
Female,50,High School Degree,Employed,"A 50-year-old Female holding a High School Degree, currently Employed, navigates through their own story, enveloped in a fragile and suspended stillness.",0.9976509213447571
Female,45,Degree,Unemployed,"This Female, aged 45, presenting a Degree and being Unemployed, treads lightly upon the present, where every decision hangs in a delicate, precarious balance.",0.9598899483680725
Male,47,High School Degree,Unemployed,"A Male at the age of 47, who is Unemployed and maintains a High School Degree, walks a rhythm of quiet balance — not luxurious, but reliably intact.",0.9988321661949158
Male,34,High School Degree,Employed,"Currently Employed, this Male aged 34 holding a High School Degree maintains a steady equilibrium, moving through a landscape of calm, ordinary moments.",0.9988276362419128
Male,31,No High School Degree,Unemployed,"A 31-year-old Male holding No High School Degree, currently Unemployed, navigates through shaky ground, where the present moment feels as brittle as dry leaves.",0.001746343681588769
Female,39,No High School Degree,Unemployed,"A Female at the age of 39, who is Unemployed and maintains No High School Degree, follows the simple predictability of a life governed by familiar habits and moderate expectations.",0.9937096834182739
Male,38,Degree,Unemployed,"This 38-year-old Male, Unemployed and equipped with a Degree, maintains a reliable path, grounded by a balanced rhythm that keeps the days running smoothly.",0.9989004135131836
Male,35,High School Degree,Unemployed,"At 35, this Male with a High School Degree and an Unemployed status maintains a balanced existence, where surprises are few and manageable.",0.9987465143203735
Female,46,High School Degree,Employed,"Currently Employed, this Female aged 46 holding a High School Degree finds themselves in a delicate balance, sensing the fragile tension of a suspended reality.",0.9982783794403076
Female,49,No High School Degree,Employed,"A 49-year-old Female holding No High School Degree, currently Employed, treads lightly upon a delicate balance, sensing the fragile tension of a suspended reality.",0.9968885779380798
Female,40,No High School Degree,Unemployed,"A Female at the age of 40, who is Unemployed and maintains No High School Degree, breathes in the thin air of a life lived on the precipice of constant unpredictability.",0.004024264868348837
Female,54,High School Degree,Employed,"A Female at the age of 54, who is Employed and maintains a High School Degree, breathes in the thin air of shaky ground, where the present moment feels as brittle as dry leaves.",0.003051881678402424
Female,28,No High School Degree,Unemployed,"This Female, aged 28, presenting No High School Degree and being Unemployed, traces the familiar outlines of the quiet satisfaction of a regular, unchanging weekly schedule.",0.9985755681991577
Male,38,No High School Degree,Employed,"Being Employed and having No High School Degree, this 38-year-old Male moves to the reliable beat of a moderate routine, finding comfort in the predictable cadence of everyday life.",0.99858558177948
Male,32,High School Degree,Employed,"With a High School Degree, this 32-year-old Employed Male lives in a reliable path, grounded by a balanced rhythm that keeps the days running smoothly.",0.9988872408866882
Female,25,Degree,Unemployed,"Being Unemployed and having a Degree, this 25-year-old Female breathes in the thin air of a fragile world, always anticipating the next sudden breeze.",0.9970260262489319
