component,value,sd,ci_lo,ci_hi,verdict,generator,model,model_short
TV,0.02395561848092631,0.010905735667148727,0.0025803765733148076,0.045330860388537814,+,CHATGPT4,gpt_3_5_turbo,gpt35
DE,0.016440900620792682,0.004007895092395092,0.008585426239698303,0.024296375001887062,+,CHATGPT4,gpt_3_5_turbo,gpt35
IE,-0.004428649114355214,0.001373798352724652,-0.0071212938856955324,-0.0017360043430148962,-,CHATGPT4,gpt_3_5_turbo,gpt35
SE,-0.003086068745778416,0.010178611598267209,-0.023036147478382146,0.016864009986825315,0,CHATGPT4,gpt_3_5_turbo,gpt35
TV,-0.01691067828660164,0.00871907818049136,-0.0340000715203647,1.7871494716142564e-4,0,CHATGPT4,llama_3_1_8b_instant,llama8b
DE,-0.023550980339354228,0.0038475285313865916,-0.03109213626087195,-0.016009824417836507,-,CHATGPT4,llama_3_1_8b_instant,llama8b
IE,-0.004646323394892903,0.0014981804943308109,-0.007582757163781292,-0.0017098896260045139,-,CHATGPT4,llama_3_1_8b_instant,llama8b
SE,-0.0019939786578596834,0.007877003184219153,-0.017432904898929222,0.013444947583209854,0,CHATGPT4,llama_3_1_8b_instant,llama8b
TV,-0.005519140902933926,0.010658776170705878,-0.02641034219751745,0.015372060391649596,0,CHATGPT4,siebert_sentiment_roberta_large_english,siebert
DE,-0.02204504926217581,0.006459539987291779,-0.03470574763726769,-0.009384350887083923,-,CHATGPT4,siebert_sentiment_roberta_large_english,siebert
IE,-0.017616481202417336,0.00605688106658609,-0.029487968092926073,-0.0057449943119085994,-,CHATGPT4,siebert_sentiment_roberta_large_english,siebert
SE,0.0010905728431754515,0.006733647859888979,-0.012107376962206947,0.01428852264855785,0,CHATGPT4,siebert_sentiment_roberta_large_english,siebert
TV,0.03812394809932433,0.011275485636120084,0.01602399625252897,0.060223899946119694,+,GEMINIPRO,gpt_3_5_turbo,gpt35
DE,0.035596378180908377,0.004257114274699748,0.02725243420249687,0.04394032215931988,+,GEMINIPRO,gpt_3_5_turbo,gpt35
IE,-0.0015144956796568135,0.0011239000777107625,-0.003717339831969908,6.883484726562807e-4,0,GEMINIPRO,gpt_3_5_turbo,gpt35
SE,-0.0010130742387591367,0.010813371916071669,-0.022207283194259606,0.020181134716741333,0,GEMINIPRO,gpt_3_5_turbo,gpt35
TV,0.04076264911559031,0.010811569299559405,0.01957197328845388,0.06195332494272675,+,GEMINIPRO,llama_3_1_8b_instant,llama8b
DE,0.03573252069075243,0.005022652291824951,0.025888122198775527,0.04557691918272934,+,GEMINIPRO,llama_3_1_8b_instant,llama8b
IE,-0.002667836811766563,0.0015277897142114958,-0.005662304651621095,3.2663102808796855e-4,0,GEMINIPRO,llama_3_1_8b_instant,llama8b
SE,-0.002362291613071319,0.009926531493694322,-0.02181829334071219,0.017093710114569553,0,GEMINIPRO,llama_3_1_8b_instant,llama8b
TV,0.03705720749391296,0.016914168443779472,0.0039054373441051934,0.07020897764372072,+,GEMINIPRO,siebert_sentiment_roberta_large_english,siebert
DE,0.03129115825255078,0.007735453345733025,0.01612966969491405,0.04645264681018751,+,GEMINIPRO,siebert_sentiment_roberta_large_english,siebert
IE,-0.0010222220857404015,0.0021570163388804943,-0.00524997410994617,0.0032055299384653674,0,GEMINIPRO,siebert_sentiment_roberta_large_english,siebert
SE,-0.004743827155621783,0.015442139500235241,-0.035010420576082855,0.025522766264839288,0,GEMINIPRO,siebert_sentiment_roberta_large_english,siebert
TV,0.033143377370463585,0.01041406589307786,0.01273180822003098,0.05355494652089619,+,TEMPLATE,gpt_3_5_turbo,gpt35
DE,0.028679363579259712,0.003836220279533936,0.021160371831373197,0.03619835532714623,+,TEMPLATE,gpt_3_5_turbo,gpt35
IE,-0.0033120670676777537,0.0014695256138574934,-0.006192337270838441,-4.317968645170668e-4,-,TEMPLATE,gpt_3_5_turbo,gpt35
SE,-0.0011519467235261208,0.00988951892853935,-0.020535403823463246,0.018231510376411002,0,TEMPLATE,gpt_3_5_turbo,gpt35
TV,0.021395938762559866,0.009795102941068558,0.0021975369980654913,0.04059434052705424,+,TEMPLATE,llama_3_1_8b_instant,llama8b
DE,0.013885010689506391,0.003352554889476161,0.007314003106133116,0.020456018272879666,+,TEMPLATE,llama_3_1_8b_instant,llama8b
IE,-0.006186571288943984,0.0023635829395545586,-0.010819193850470919,-0.0015539487274170496,-,TEMPLATE,llama_3_1_8b_instant,llama8b
SE,-0.0013243567841094899,0.009309429259321699,-0.01957083813238002,0.016922124564161038,0,TEMPLATE,llama_3_1_8b_instant,llama8b
TV,0.03344576007688794,0.013084339275903061,0.007800455096117938,0.05909106505765794,+,TEMPLATE,siebert_sentiment_roberta_large_english,siebert
DE,0.030009014199467696,0.009382839694820186,0.01161864839762013,0.04839938000131526,+,TEMPLATE,siebert_sentiment_roberta_large_english,siebert
IE,-3.053054624136095e-4,0.002045656834641918,-0.0043147928583117685,0.003704181933484549,0,TEMPLATE,siebert_sentiment_roberta_large_english,siebert
SE,-0.003131440415006634,0.009885183030862235,-0.022506399155496612,0.016243518325483347,0,TEMPLATE,siebert_sentiment_roberta_large_english,siebert
