Gender,Age,Education,Employment,Sentence,sentiment_score
Male,36,High School Degree,Employed,"A 36-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.9986979961395264
Female,48,No High School Degree,Employed,"A 48-year-old Female with No High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.004999489523470402
Male,43,No High School Degree,Unemployed,"A 43-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.9924894571304321
Female,50,No High School Degree,Unemployed,"A 50-year-old Female with No High School Degree, currently Unemployed, settled into a steady, reliable routine.",0.9987286925315857
Male,54,High School Degree,Unemployed,"A 54-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.005487577524036169
Male,43,No High School Degree,Unemployed,"A 43-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state.",0.006795896682888269
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine.",0.9986856579780579
Female,54,Degree,Employed,"A 54-year-old Female with Degree, currently Employed, settled into a measured, predictable routine.",0.4135359823703766
Male,34,High School Degree,Unemployed,"A 34-year-old Male with High School Degree, currently Unemployed, held in a tense, suspended state.",0.004497929010540247
Female,34,No High School Degree,Employed,"A 34-year-old Female with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.9985120892524719
Male,27,Master,Unemployed,"A 27-year-old Male with Master, currently Unemployed, balanced on the edge of an unresolved situation.",0.0061133201234042645
Male,25,No High School Degree,Employed,"A 25-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state.",0.002897670492529869
Female,61,High School Degree,Employed,"A 61-year-old Female with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.9986891150474548
Female,25,No High School Degree,Unemployed,"A 25-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.002455997047945857
Male,29,No High School Degree,Employed,"A 29-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil.",0.0030146983917802572
Female,34,High School Degree,Unemployed,"A 34-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.4443480372428894
Female,38,No High School Degree,Unemployed,"A 38-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.005065212957561016
Female,49,High School Degree,Unemployed,"A 49-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.9948711395263672
Male,44,No High School Degree,Unemployed,"A 44-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.014205641113221645
Male,27,No High School Degree,Unemployed,"A 27-year-old Male with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.004530963022261858
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.9900009632110596
Male,41,No High School Degree,Employed,"A 41-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.01647331193089485
Female,37,No High School Degree,Employed,"A 37-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine.",0.010069851763546467
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, held in a tense, suspended state.",0.0048164064064621925
Female,42,High School Degree,Employed,"A 42-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.826861560344696
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine.",0.005166199058294296
Female,40,No High School Degree,Employed,"A 40-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state.",0.0028893679846078157
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.9984821677207947
Female,38,High School Degree,Unemployed,"A 38-year-old Female with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.006040128879249096
Male,25,No High School Degree,Employed,"A 25-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state.",0.002897670492529869
Male,40,Master,Unemployed,"A 40-year-old Male with Master, currently Unemployed, navigating a fragile, uncertain stretch.",0.7738043069839478
Female,42,High School Degree,Unemployed,"A 42-year-old Female with High School Degree, currently Unemployed, rooted in security and dependable bonds.",0.9978544116020203
Female,34,No High School Degree,Unemployed,"A 34-year-old Female with No High School Degree, currently Unemployed, held in a tense, suspended state.",0.006308847572654486
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.027698663994669914
Female,56,No High School Degree,Unemployed,"A 56-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine.",0.050284065306186676
Male,34,No High School Degree,Employed,"A 34-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state.",0.0037949320394545794
Male,44,No High School Degree,Unemployed,"A 44-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.9985319375991821
Female,47,High School Degree,Employed,"A 47-year-old Female with High School Degree, currently Employed, where little stays the same from one day to the next.",0.00885041244328022
Male,35,No High School Degree,Unemployed,"A 35-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state.",0.006297106388956308
Male,67,No High School Degree,Unemployed,"A 67-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.9985387325286865
Male,49,High School Degree,Employed,"A 49-year-old Male with High School Degree, currently Employed, settled into a measured, predictable routine.",0.009943444281816483
Male,25,No High School Degree,Employed,"A 25-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.9967855215072632
Male,46,Degree,Unemployed,"A 46-year-old Male with Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.019340582191944122
Male,42,High School Degree,Employed,"A 42-year-old Male with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.007891977205872536
Male,45,High School Degree,Unemployed,"A 45-year-old Male with High School Degree, currently Unemployed, held in a tense, suspended state.",0.004385179374366999
Male,43,High School Degree,Employed,"A 43-year-old Male with High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.31501519680023193
Female,36,No High School Degree,Employed,"A 36-year-old Female with No High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.004862052854150534
Male,33,No High School Degree,Unemployed,"A 33-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.9914451837539673
Male,39,No High School Degree,Unemployed,"A 39-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.9985155463218689
Female,25,No High School Degree,Unemployed,"A 25-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.002455997047945857
Male,35,High School Degree,Employed,"A 35-year-old Male with High School Degree, currently Employed, moving through steady, unremarkable days.",0.9982469081878662
Female,43,No High School Degree,Unemployed,"A 43-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.027856482192873955
Female,53,No High School Degree,Unemployed,"A 53-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.004887332674115896
Male,47,No High School Degree,Unemployed,"A 47-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.991763710975647
Male,33,High School Degree,Unemployed,"A 33-year-old Male with High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.998661994934082
Female,49,No High School Degree,Unemployed,"A 49-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine.",0.11534378677606583
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state.",0.003020600648596883
Male,32,No High School Degree,Employed,"A 32-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.02087854966521263
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine.",0.9701364636421204
Male,45,Degree,Employed,"A 45-year-old Male with Degree, currently Employed, moving through steady, unremarkable days.",0.9979177117347717
Female,29,High School Degree,Unemployed,"A 29-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.3970581293106079
Male,45,High School Degree,Employed,"A 45-year-old Male with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.008082968182861805
Female,33,No High School Degree,Unemployed,"A 33-year-old Female with No High School Degree, currently Unemployed, held in a tense, suspended state.",0.005574963986873627
Female,38,No High School Degree,Unemployed,"A 38-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.025704018771648407
Female,35,High School Degree,Employed,"A 35-year-old Female with High School Degree, currently Employed, settled into a measured, predictable routine.",0.0915093868970871
Female,42,No High School Degree,Employed,"A 42-year-old Female with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.9946264624595642
Male,46,No High School Degree,Employed,"A 46-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.015783285722136497
Male,41,Master,Unemployed,"A 41-year-old Male with Master, currently Unemployed, settled into a measured, predictable routine.",0.9704046845436096
