Gender,Age,Education,Employment,Sentence,sentiment_score
Female,47,High School Degree,Employed,"A 47-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.29485130310058594
Male,38,High School Degree,Unemployed,"A 38-year-old Male with High School Degree, currently Unemployed, rooted in security and dependable bonds.",0.9978366494178772
Female,43,No High School Degree,Unemployed,"A 43-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.9904571175575256
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.998554527759552
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.0035607421305030584
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with No High School Degree, currently Unemployed, in the middle of relentless turmoil.",0.004552978556603193
Female,56,High School Degree,Employed,"A 56-year-old Female with High School Degree, currently Employed, amid constant upheaval and change.",0.9940676689147949
Female,35,High School Degree,Employed,"A 35-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds.",0.9987020492553711
Male,51,No High School Degree,Employed,"A 51-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.9956262111663818
Male,53,High School Degree,Employed,"A 53-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.9986936450004578
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.002712516812607646
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.9987014532089233
Male,55,No High School Degree,Employed,"A 55-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine.",0.9987016916275024
Female,44,High School Degree,Unemployed,"A 44-year-old Female with High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.0029176659882068634
Female,64,Degree,Employed,"A 64-year-old Female with Degree, currently Employed, in the middle of relentless turmoil.",0.005139825399965048
Female,56,High School Degree,Unemployed,"A 56-year-old Female with High School Degree, currently Unemployed, amid constant upheaval and change.",0.0056323641911149025
Female,47,High School Degree,Employed,"A 47-year-old Female with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.008247794583439827
Male,49,High School Degree,Unemployed,"A 49-year-old Male with High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.9961866736412048
Male,54,No High School Degree,Unemployed,"A 54-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.013270014896988869
Male,52,High School Degree,Employed,"A 52-year-old Male with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.008362142369151115
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.9947736859321594
Male,47,No High School Degree,Employed,"A 47-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change.",0.018377922475337982
Male,53,High School Degree,Unemployed,"A 53-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.005532991606742144
