component,value,sd,ci_lo,ci_hi,verdict,model,scenario,dag,dag_desc,Z_set,W_set
TV,-0.008254329940506955,0.011870436561317099,-0.03152038560068847,0.01501172571967456,0,allam_2_7b,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.008254329940506955,0.011870436561317099,-0.03152038560068847,0.01501172571967456,0,allam_2_7b,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.007406205429601982,0.0037322785983209704,-0.014721471482311083,-9.093937689288057e-5,-,allam_2_7b,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.010263183363061658,0.003593221376646404,-0.01730589726128861,-0.0032204694648347056,-,allam_2_7b,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0026877474526045553,0.0010830542963556967,-0.00481053387346172,-5.6496103174739e-4,-,allam_2_7b,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.0020088534225547027,0.011203221060459262,-0.023967166701054858,0.01994945985594545,0,allam_2_7b,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.003535871963509528,0.011176277004134998,-0.01836963096459507,0.025441374891614126,0,allam_2_7b,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-2.220446049250313e-18,2.502411744659242e-19,-2.7109187512035245e-18,-1.7299733472971018e-18,-,allam_2_7b,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.0028832578433153283,0.0050867568193389496,-0.01285330120921967,0.007086785522589013,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.0028832578433153283,0.0050867568193389496,-0.01285330120921967,0.007086785522589013,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.001658341868295885,0.004288918243218968,-0.010064621625005063,0.006747937888413292,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.004193511884485051,0.004046920160764393,-0.012125475399583262,0.00373845163061316,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.001521626509471998,8.792910650432395e-4,-0.0032450369969567474,2.0178397801275116e-4,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.0013102540411697218,0.0029905341735040596,-0.007171701021237678,0.004551192938898235,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.00274654248449144,0.0032778364081475072,-0.0036780168754776744,0.009171101844460555,0,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-9.905993849275892e-19,2.820791911775482e-19,-1.5434745996355837e-18,-4.377241702195948e-19,-,cardiffnlp_twitter_roberta_base_sentiment_latest,ALL,G2,remove confounder Age,(none),Prior.Convictions
