model,budget,Effect,Estimate
allam_2_7b,100,Direct,0.04723070303533109
allam_2_7b,100,Indirect,0.003971959881493364
allam_2_7b,100,Spurious,0.0076631077380934845
allam_2_7b,100,Total,0.04609395699305363
allam_2_7b,200,Direct,0.037898592054806064
allam_2_7b,200,Indirect,0.008310057858045856
allam_2_7b,200,Spurious,0.007114118826215682
allam_2_7b,200,Total,0.03838441877521086
allam_2_7b,400,Direct,0.033244913655831834
allam_2_7b,400,Indirect,0.0038711382147312286
allam_2_7b,400,Spurious,0.003002990495576755
allam_2_7b,400,Total,0.03360298573608456
allam_2_7b,600,Direct,0.030831965075298087
allam_2_7b,600,Indirect,0.0028366559558334046
allam_2_7b,600,Spurious,0.0034669752270264234
allam_2_7b,600,Total,0.03161053894425988
allam_2_7b,800,Direct,0.031252735257174195
allam_2_7b,800,Indirect,0.003591994465158308
allam_2_7b,800,Spurious,0.0028985151313754474
allam_2_7b,800,Total,0.030978022159006798
