Effect,Estimate,model,scenario,budget
Total,0,allam_2_7b,s1,100
Direct,0,allam_2_7b,s1,100
Indirect,0,allam_2_7b,s1,100
Spurious,0.011036757961748904,allam_2_7b,s1,100
Total,0,allam_2_7b,s1,200
Direct,0,allam_2_7b,s1,200
Indirect,0,allam_2_7b,s1,200
Spurious,0.01218758572156145,allam_2_7b,s1,200
Total,0,allam_2_7b,s1,400
Direct,0,allam_2_7b,s1,400
Indirect,0,allam_2_7b,s1,400
Spurious,0,allam_2_7b,s1,400
Total,0.007266666666666669,allam_2_7b,s1,600
Direct,0,allam_2_7b,s1,600
Indirect,0,allam_2_7b,s1,600
Spurious,0,allam_2_7b,s1,600
Total,0.001550000000000004,allam_2_7b,s1,800
Direct,0,allam_2_7b,s1,800
Indirect,0,allam_2_7b,s1,800
Spurious,0.0014205487784897178,allam_2_7b,s1,800
Total,0,allam_2_7b,s2,100
Direct,0,allam_2_7b,s2,100
Indirect,0,allam_2_7b,s2,100
Spurious,0.016333791749213,allam_2_7b,s2,100
Total,0,allam_2_7b,s2,200
Direct,0,allam_2_7b,s2,200
Indirect,0.03648286571497302,allam_2_7b,s2,200
Spurious,0,allam_2_7b,s2,200
Total,0,allam_2_7b,s2,400
Direct,0,allam_2_7b,s2,400
Indirect,0,allam_2_7b,s2,400
Spurious,0.004036896138818556,allam_2_7b,s2,400
Total,0,allam_2_7b,s2,600
Direct,0,allam_2_7b,s2,600
Indirect,0.0055955139742956345,allam_2_7b,s2,600
Spurious,0.010284565202259026,allam_2_7b,s2,600
Total,0,allam_2_7b,s2,800
Direct,0,allam_2_7b,s2,800
Indirect,0,allam_2_7b,s2,800
Spurious,0.01120428444903555,allam_2_7b,s2,800
Total,0.199,allam_2_7b,s3,100
Direct,0.2194604627933325,allam_2_7b,s3,100
Indirect,0.026158155055113833,allam_2_7b,s3,100
Spurious,0,allam_2_7b,s3,100
Total,0.14396939693969396,allam_2_7b,s3,200
Direct,0.10660562620587971,allam_2_7b,s3,200
Indirect,0.003905311296032816,allam_2_7b,s3,200
Spurious,0,allam_2_7b,s3,200
Total,0.15925798144953612,allam_2_7b,s3,400
Direct,0.14963277822434035,allam_2_7b,s3,400
Indirect,0.006446808595715622,allam_2_7b,s3,400
Spurious,0,allam_2_7b,s3,400
Total,0.1534053711707908,allam_2_7b,s3,600
Direct,0.1297313448037409,allam_2_7b,s3,600
Indirect,0.003022769994753175,allam_2_7b,s3,600
Spurious,0,allam_2_7b,s3,600
Total,0.15237507734423333,allam_2_7b,s3,800
Direct,0.13151331422426918,allam_2_7b,s3,800
Indirect,4.3708324640439575e-4,allam_2_7b,s3,800
Spurious,0,allam_2_7b,s3,800
Total,0,allam_2_7b,s4,100
Direct,0,allam_2_7b,s4,100
Indirect,6.100576129913661e-4,allam_2_7b,s4,100
Spurious,0,allam_2_7b,s4,100
Total,0,allam_2_7b,s4,200
Direct,0,allam_2_7b,s4,200
Indirect,0,allam_2_7b,s4,200
Spurious,0.006183319386958411,allam_2_7b,s4,200
Total,0,allam_2_7b,s4,400
Direct,0,allam_2_7b,s4,400
Indirect,0.007402440913084219,allam_2_7b,s4,400
Spurious,0.008069036861593245,allam_2_7b,s4,400
Total,0,allam_2_7b,s4,600
Direct,0,allam_2_7b,s4,600
Indirect,0,allam_2_7b,s4,600
Spurious,0,allam_2_7b,s4,600
Total,0,allam_2_7b,s4,800
Direct,0,allam_2_7b,s4,800
Indirect,0,allam_2_7b,s4,800
Spurious,0,allam_2_7b,s4,800
Total,0.08220000000000001,allam_2_7b,s5,100
Direct,0.09613918571865156,allam_2_7b,s5,100
Indirect,0,allam_2_7b,s5,100
Spurious,0.021827817729485704,allam_2_7b,s5,100
Total,0.047500000000000014,allam_2_7b,s5,200
Direct,0.05170517102549614,allam_2_7b,s5,200
Indirect,4.0285786372550215e-4,allam_2_7b,s5,200
Spurious,0.003802313161770629,allam_2_7b,s5,200
Total,0.020862771569289385,allam_2_7b,s5,400
Direct,0.022506780529836012,allam_2_7b,s5,400
Indirect,0,allam_2_7b,s5,400
Spurious,0.0037104775185788324,allam_2_7b,s5,400
Total,0.02202624473605262,allam_2_7b,s5,600
Direct,0.02390610300347592,allam_2_7b,s5,600
Indirect,0,allam_2_7b,s5,600
Spurious,0.0033797042669197956,allam_2_7b,s5,600
Total,0.014028475711892944,allam_2_7b,s5,800
Direct,0.00995058664953344,allam_2_7b,s5,800
Indirect,0,allam_2_7b,s5,800
Spurious,0.0011503870865722393,allam_2_7b,s5,800
