model,budget,Effect,Estimate
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Direct,0.048092816164499896
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Indirect,0.014179701507134877
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Spurious,0.01495495589832659
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Total,0.04752483535498119
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Direct,0.03655938862536124
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Indirect,0.0016401975806239245
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Spurious,0.0034747694665932583
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Total,0.039698062133562154
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Direct,0.03123417221732097
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Indirect,0.002297940149434136
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Spurious,0.0018028162643821308
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Total,0.03648078988653579
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Direct,0.034010474974510645
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Indirect,0.0020971358166162407
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Spurious,0.0036766128437458034
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Total,0.03639796643011059
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Direct,0.03193190731434014
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Indirect,0.001834849557178894
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Spurious,0.003759279711198927
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Total,0.03520406118574432
