Effect,Estimate,model,scenario,budget
Total,0.18191361896769734,distilbert_base_uncased_finetuned_sst2_english,s1,100
Direct,0.11319903494128505,distilbert_base_uncased_finetuned_sst2_english,s1,100
Indirect,0.015857065538492615,distilbert_base_uncased_finetuned_sst2_english,s1,100
Spurious,0,distilbert_base_uncased_finetuned_sst2_english,s1,100
Total,0.019024815075681545,distilbert_base_uncased_finetuned_sst2_english,s1,200
Direct,0.017822814068369462,distilbert_base_uncased_finetuned_sst2_english,s1,200
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,200
Spurious,4.628048171525835e-4,distilbert_base_uncased_finetuned_sst2_english,s1,200
Total,0.09097387340216566,distilbert_base_uncased_finetuned_sst2_english,s1,400
Direct,0.10325552735162057,distilbert_base_uncased_finetuned_sst2_english,s1,400
Indirect,2.2210523218057983e-5,distilbert_base_uncased_finetuned_sst2_english,s1,400
Spurious,0.012259443426236846,distilbert_base_uncased_finetuned_sst2_english,s1,400
Total,0.0607322986065022,distilbert_base_uncased_finetuned_sst2_english,s1,600
Direct,0.0657955388739098,distilbert_base_uncased_finetuned_sst2_english,s1,600
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,600
Spurious,0.006236666583368027,distilbert_base_uncased_finetuned_sst2_english,s1,600
Total,0.03311318717087773,distilbert_base_uncased_finetuned_sst2_english,s1,800
Direct,0.029670332119982,distilbert_base_uncased_finetuned_sst2_english,s1,800
Indirect,0,distilbert_base_uncased_finetuned_sst2_english,s1,800
Spurious,0.011810879878273658,distilbert_base_uncased_finetuned_sst2_english,s1,800
Total,0,distilbert_base_uncased_finetuned_sst2_english,s2,100
Direct,0,distilbert_base_uncased_finetuned_sst2_english,s2,100
Indirect,0.001636218471375412,distilbert_base_uncased_finetuned_sst2_english,s2,100
Spurious,0.01995156453449154,distilbert_base_uncased_finetuned_sst2_english,s2,100
Total,0,distilbert_base_uncased_finetuned_sst2_english,s2,200
Direct,0,distilbert_base_uncased_finetuned_sst2_english,s2,200
