model,budget,Effect,Estimate
gemma2_9b_it,100,Direct,0.07525663229779164
gemma2_9b_it,100,Indirect,0.007121258715336978
gemma2_9b_it,100,Spurious,0.011065564310440257
gemma2_9b_it,100,Total,0.07219163070822734
gemma2_9b_it,200,Direct,0.0905681271345026
gemma2_9b_it,200,Indirect,0.006661642781500034
gemma2_9b_it,200,Spurious,0.005579517139025944
gemma2_9b_it,200,Total,0.08663346834683468
gemma2_9b_it,400,Direct,0.08172481223288393
gemma2_9b_it,400,Indirect,0.007110188978409976
gemma2_9b_it,400,Spurious,0.0036323458678941536
gemma2_9b_it,400,Total,0.08483494255573214
gemma2_9b_it,600,Direct,0.09011144424862792
gemma2_9b_it,600,Indirect,0.00605300417076365
gemma2_9b_it,600,Spurious,0.004588100138296392
gemma2_9b_it,600,Total,0.09084440697373668
gemma2_9b_it,800,Direct,0.08795997535312343
gemma2_9b_it,800,Indirect,0.006452680337910883
gemma2_9b_it,800,Spurious,0.0028612822704944135
gemma2_9b_it,800,Total,0.08758069679943914
