Effect,Estimate,model,scenario,budget
Total,0.08346538615446181,gemma2_9b_it,s1,100
Direct,0.030148788502966616,gemma2_9b_it,s1,100
Indirect,0,gemma2_9b_it,s1,100
Spurious,0,gemma2_9b_it,s1,100
Total,0.058699999999999995,gemma2_9b_it,s1,200
Direct,0.06087584795248342,gemma2_9b_it,s1,200
Indirect,0,gemma2_9b_it,s1,200
Spurious,0.019873146011703924,gemma2_9b_it,s1,200
Total,0.0551866296657417,gemma2_9b_it,s1,400
Direct,0.042428995699002776,gemma2_9b_it,s1,400
Indirect,0,gemma2_9b_it,s1,400
Spurious,0.0018968105080976925,gemma2_9b_it,s1,400
Total,0.06023333333333333,gemma2_9b_it,s1,600
Direct,0.04619356177233389,gemma2_9b_it,s1,600
Indirect,0,gemma2_9b_it,s1,600
Spurious,0.001488546959355791,gemma2_9b_it,s1,600
Total,0.056116975731098355,gemma2_9b_it,s1,800
Direct,0.04869234641250615,gemma2_9b_it,s1,800
Indirect,0,gemma2_9b_it,s1,800
Spurious,0.0025837644783956344,gemma2_9b_it,s1,800
Total,0,gemma2_9b_it,s2,100
Direct,0,gemma2_9b_it,s2,100
Indirect,0.0038435490606537333,gemma2_9b_it,s2,100
Spurious,0,gemma2_9b_it,s2,100
Total,0,gemma2_9b_it,s2,200
Direct,0,gemma2_9b_it,s2,200
Indirect,0,gemma2_9b_it,s2,200
Spurious,0.01099841683955729,gemma2_9b_it,s2,200
Total,0,gemma2_9b_it,s2,400
Direct,0,gemma2_9b_it,s2,400
Indirect,0.012773121950941381,gemma2_9b_it,s2,400
Spurious,0.0032031768460000875,gemma2_9b_it,s2,400
Total,0,gemma2_9b_it,s2,600
Direct,0,gemma2_9b_it,s2,600
Indirect,0,gemma2_9b_it,s2,600
Spurious,0.02352400670033643,gemma2_9b_it,s2,600
Total,0,gemma2_9b_it,s2,800
Direct,0,gemma2_9b_it,s2,800
Indirect,0.002146326239056946,gemma2_9b_it,s2,800
Spurious,0.010190973244467962,gemma2_9b_it,s2,800
Total,0.28962496249624964,gemma2_9b_it,s3,200
Direct,0.27574661238041365,gemma2_9b_it,s3,200
Indirect,0.01118378021694573,gemma2_9b_it,s3,200
Spurious,0,gemma2_9b_it,s3,200
Total,0.23960349008725212,gemma2_9b_it,s3,400
Direct,0.1881916792387364,gemma2_9b_it,s3,400
Indirect,0,gemma2_9b_it,s3,400
Spurious,0,gemma2_9b_it,s3,400
Total,0.267270191891021,gemma2_9b_it,s3,600
Direct,0.2370135722138452,gemma2_9b_it,s3,600
Indirect,0.005680912982227637,gemma2_9b_it,s3,600
Spurious,0,gemma2_9b_it,s3,600
Total,0.2681827045676141,gemma2_9b_it,s3,800
Direct,0.22907662235826418,gemma2_9b_it,s3,800
Indirect,0,gemma2_9b_it,s3,800
Spurious,0,gemma2_9b_it,s3,800
Total,0,gemma2_9b_it,s4,100
Direct,0,gemma2_9b_it,s4,100
Indirect,0,gemma2_9b_it,s4,100
Spurious,0.007982591482068244,gemma2_9b_it,s4,100
Total,0,gemma2_9b_it,s4,200
Direct,0,gemma2_9b_it,s4,200
Indirect,0,gemma2_9b_it,s4,200
Spurious,0.0021201116726773783,gemma2_9b_it,s4,200
Total,0,gemma2_9b_it,s4,400
Direct,0,gemma2_9b_it,s4,400
Indirect,0,gemma2_9b_it,s4,400
Spurious,0.0032856256876066026,gemma2_9b_it,s4,400
Total,0,gemma2_9b_it,s4,600
Direct,0,gemma2_9b_it,s4,600
Indirect,2.338553117126497e-5,gemma2_9b_it,s4,600
Spurious,0.0027180622075049176,gemma2_9b_it,s4,600
Total,0,gemma2_9b_it,s4,800
Direct,0,gemma2_9b_it,s4,800
Indirect,0,gemma2_9b_it,s4,800
Spurious,0,gemma2_9b_it,s4,800
Total,0.05060000000000001,gemma2_9b_it,s5,100
Direct,0.04948220588867706,gemma2_9b_it,s5,100
Indirect,0.007860988462509771,gemma2_9b_it,s5,100
Spurious,0,gemma2_9b_it,s5,100
Total,0.0772,gemma2_9b_it,s5,200
Direct,0.05520840226782246,gemma2_9b_it,s5,200
Indirect,0,gemma2_9b_it,s5,200
Spurious,0,gemma2_9b_it,s5,200
Total,0.05610665266631677,gemma2_9b_it,s5,400
Direct,0.051247131529043234,gemma2_9b_it,s5,400
Indirect,3.3771369597910183e-4,gemma2_9b_it,s5,400
Spurious,0,gemma2_9b_it,s5,400
Total,0.05358248424982496,gemma2_9b_it,s5,600
Direct,0.04697006191226746,gemma2_9b_it,s5,600
Indirect,0,gemma2_9b_it,s5,600
Spurious,0,gemma2_9b_it,s5,600
