model,budget,Effect,Estimate
gpt_3_5_turbo,100,Direct,0.027095845902112742
gpt_3_5_turbo,100,Indirect,0.00438579573558369
gpt_3_5_turbo,100,Spurious,0.004326518532400866
gpt_3_5_turbo,100,Total,0.02589561965811965
gpt_3_5_turbo,200,Direct,0.025143463002810014
gpt_3_5_turbo,200,Indirect,0.0036915199218014428
gpt_3_5_turbo,200,Spurious,0.01040120400393727
gpt_3_5_turbo,200,Total,0.025258609194252758
gpt_3_5_turbo,400,Direct,0.023963422236178016
gpt_3_5_turbo,400,Indirect,0.0070999059755175375
gpt_3_5_turbo,400,Spurious,0.003045173985821335
gpt_3_5_turbo,400,Total,0.023628590467862
gpt_3_5_turbo,600,Direct,0.02044568436120588
gpt_3_5_turbo,600,Indirect,0.004828789589349881
gpt_3_5_turbo,600,Spurious,0.0016894972355829463
gpt_3_5_turbo,600,Total,0.021952503175961216
gpt_3_5_turbo,800,Direct,0.022252734900811786
gpt_3_5_turbo,800,Indirect,0.003182945073915068
gpt_3_5_turbo,800,Spurious,0.004337944101542718
gpt_3_5_turbo,800,Total,0.02379330495815598
