Effect,Estimate,model,scenario,budget
Total,0,gpt_3_5_turbo,s1,100
Direct,0,gpt_3_5_turbo,s1,100
Indirect,0,gpt_3_5_turbo,s1,100
Spurious,0.0022911148459266984,gpt_3_5_turbo,s1,100
Total,0,gpt_3_5_turbo,s1,200
Direct,0,gpt_3_5_turbo,s1,200
Indirect,0,gpt_3_5_turbo,s1,200
Spurious,0.006155585941669044,gpt_3_5_turbo,s1,200
Total,0,gpt_3_5_turbo,s1,400
Direct,0,gpt_3_5_turbo,s1,400
Indirect,0,gpt_3_5_turbo,s1,400
Spurious,0.003137457910673269,gpt_3_5_turbo,s1,400
Total,0,gpt_3_5_turbo,s1,600
Direct,0,gpt_3_5_turbo,s1,600
Indirect,0,gpt_3_5_turbo,s1,600
Spurious,0.007187414174029603,gpt_3_5_turbo,s1,600
Total,0,gpt_3_5_turbo,s1,800
Direct,0,gpt_3_5_turbo,s1,800
Indirect,0,gpt_3_5_turbo,s1,800
Spurious,5.905558713461412e-4,gpt_3_5_turbo,s1,800
Total,0,gpt_3_5_turbo,s2,100
Direct,0,gpt_3_5_turbo,s2,100
Indirect,0,gpt_3_5_turbo,s2,100
Spurious,0,gpt_3_5_turbo,s2,100
Total,0,gpt_3_5_turbo,s2,200
Direct,0,gpt_3_5_turbo,s2,200
Indirect,0,gpt_3_5_turbo,s2,200
Spurious,0.028532198359933657,gpt_3_5_turbo,s2,200
Total,0,gpt_3_5_turbo,s2,400
Direct,0,gpt_3_5_turbo,s2,400
Indirect,0.01007971583067484,gpt_3_5_turbo,s2,400
Spurious,0.015691551172191016,gpt_3_5_turbo,s2,400
Total,0,gpt_3_5_turbo,s2,600
Direct,0,gpt_3_5_turbo,s2,600
Indirect,0.0035670086984605745,gpt_3_5_turbo,s2,600
Spurious,7.120670132358321e-5,gpt_3_5_turbo,s2,600
Total,0,gpt_3_5_turbo,s2,800
Direct,0,gpt_3_5_turbo,s2,800
Indirect,0,gpt_3_5_turbo,s2,800
Spurious,0.012503194133440872,gpt_3_5_turbo,s2,800
Total,0.104,gpt_3_5_turbo,s3,100
Direct,0.10476594708832027,gpt_3_5_turbo,s3,100
Indirect,0.005929731038097175,gpt_3_5_turbo,s3,100
Spurious,0,gpt_3_5_turbo,s3,100
Total,0.13008300830083006,gpt_3_5_turbo,s3,200
Direct,0.12597673911360635,gpt_3_5_turbo,s3,200
