model,budget,Effect,Estimate
llama3_70b,100,Direct,0.06561161768375443
llama3_70b,100,Indirect,0.004225293783579577
llama3_70b,100,Spurious,0.009016203285493758
llama3_70b,100,Total,0.06256338522588521
llama3_70b,200,Direct,0.04799787071440902
llama3_70b,200,Indirect,0.00740920648381672
llama3_70b,200,Spurious,0.0051186826232429514
llama3_70b,200,Total,0.04704483365003167
llama3_70b,400,Direct,0.05520516477871543
llama3_70b,400,Indirect,0.006892953951115781
llama3_70b,400,Spurious,0.002905653037988728
llama3_70b,400,Total,0.05636270203747294
llama3_70b,600,Direct,0.04448007249101329
llama3_70b,600,Indirect,0.002299647911625415
llama3_70b,600,Spurious,0.003939206078933223
llama3_70b,600,Total,0.04825803620040223
llama3_70b,800,Direct,0.04802143680530098
llama3_70b,800,Indirect,0.00479615622967099
llama3_70b,800,Spurious,0.0032108279439472002
llama3_70b,800,Total,0.04764564901842412
