Effect,Estimate,model,scenario,budget
Total,0,llama3_70b,s1,100
Direct,0,llama3_70b,s1,100
Indirect,0,llama3_70b,s1,100
Spurious,0.0034416319525423394,llama3_70b,s1,100
Total,0,llama3_70b,s1,200
Direct,0,llama3_70b,s1,200
Indirect,0,llama3_70b,s1,200
Spurious,0.004866045693237614,llama3_70b,s1,200
Total,0,llama3_70b,s1,400
Direct,0,llama3_70b,s1,400
Indirect,0,llama3_70b,s1,400
Spurious,0.00628650284346291,llama3_70b,s1,400
Total,0,llama3_70b,s1,600
Direct,0,llama3_70b,s1,600
Indirect,0,llama3_70b,s1,600
Spurious,0.005521804594037083,llama3_70b,s1,600
Total,0,llama3_70b,s1,800
Direct,0,llama3_70b,s1,800
Indirect,0,llama3_70b,s1,800
Spurious,0.002941209018972143,llama3_70b,s1,800
Total,0,llama3_70b,s2,100
Direct,0,llama3_70b,s2,100
Indirect,0,llama3_70b,s2,100
Spurious,0.00684031485863353,llama3_70b,s2,100
Total,0,llama3_70b,s2,200
Direct,0,llama3_70b,s2,200
Indirect,0,llama3_70b,s2,200
Spurious,0,llama3_70b,s2,200
Total,0,llama3_70b,s2,400
Direct,0,llama3_70b,s2,400
Indirect,0.0017123083108049057,llama3_70b,s2,400
Spurious,0.012360490279567324,llama3_70b,s2,400
Total,0,llama3_70b,s2,600
Direct,0,llama3_70b,s2,600
Indirect,0,llama3_70b,s2,600
Spurious,0.015219111666250045,llama3_70b,s2,600
Total,0,llama3_70b,s2,800
Direct,0,llama3_70b,s2,800
Indirect,0,llama3_70b,s2,800
Spurious,0.013574651837996908,llama3_70b,s2,800
Total,0.2864,llama3_70b,s3,100
Direct,0.27155562520013626,llama3_70b,s3,100
Indirect,0,llama3_70b,s3,100
Spurious,0,llama3_70b,s3,100
Total,0.25768776877687766,llama3_70b,s3,200
Direct,0.24487251139233676,llama3_70b,s3,200
Indirect,0.012336207224509286,llama3_70b,s3,200
Spurious,0,llama3_70b,s3,200
Total,0.25371134278356944,llama3_70b,s3,400
Direct,0.22647028773110509,llama3_70b,s3,400
Indirect,0.00438535253371105,llama3_70b,s3,400
Spurious,0,llama3_70b,s3,400
Total,0.24714930165890733,llama3_70b,s3,600
Direct,0.2051191940582352,llama3_70b,s3,600
Indirect,0,llama3_70b,s3,600
Spurious,0,llama3_70b,s3,600
Total,0.24407500000000001,llama3_70b,s3,800
Direct,0.2207811344273138,llama3_70b,s3,800
Indirect,3.4599461002226693e-4,llama3_70b,s3,800
Spurious,0,llama3_70b,s3,800
Total,0,llama3_70b,s4,100
Direct,0,llama3_70b,s4,100
Indirect,0,llama3_70b,s4,100
Spurious,0.037587248645092906,llama3_70b,s4,100
Total,0,llama3_70b,s4,200
Direct,0,llama3_70b,s4,200
Indirect,0.0038440666242477647,llama3_70b,s4,200
Spurious,0.0049611778257031384,llama3_70b,s4,200
Total,0,llama3_70b,s4,400
Direct,0,llama3_70b,s4,400
Indirect,0,llama3_70b,s4,400
Spurious,1.0105173933556603e-4,llama3_70b,s4,400
Total,0,llama3_70b,s4,600
Direct,0,llama3_70b,s4,600
Indirect,0.002787772157416789,llama3_70b,s4,600
Spurious,0,llama3_70b,s4,600
Total,0,llama3_70b,s4,800
Direct,0,llama3_70b,s4,800
Indirect,0,llama3_70b,s4,800
Spurious,0,llama3_70b,s4,800
Total,0,llama3_70b,s5,100
Direct,0,llama3_70b,s5,100
Indirect,0.004245780373707244,llama3_70b,s5,100
Spurious,0,llama3_70b,s5,100
Total,0.024499999999999997,llama3_70b,s5,200
Direct,0.030016993197030238,llama3_70b,s5,200
Indirect,0,llama3_70b,s5,200
Spurious,0.019671581526485047,llama3_70b,s5,200
Total,0.03767719192979842,llama3_70b,s5,400
Direct,0.020237677299191226,llama3_70b,s5,400
Indirect,0,llama3_70b,s5,400
Spurious,0,llama3_70b,s5,400
Total,0.009937999311103436,llama3_70b,s5,600
Direct,0.007448065290740343,llama3_70b,s5,600
Indirect,0,llama3_70b,s5,600
Spurious,0.003977308768826373,llama3_70b,s5,600
Total,0.009480862021550705,llama3_70b,s5,800
Direct,0.010170791488572743,llama3_70b,s5,800
Indirect,8.948449360049361e-4,llama3_70b,s5,800
Spurious,0,llama3_70b,s5,800
Total,0.3104,llama3_70b,s6,100
Direct,0.335700264305163,llama3_70b,s6,100
Indirect,0.03560523972971846,llama3_70b,s6,100
Spurious,0,llama3_70b,s6,100
Total,0.28235023502350237,llama3_70b,s6,200
Direct,0.3010849439835413,llama3_70b,s6,200
Indirect,0.02889257166437198,llama3_70b,s6,200
Spurious,0,llama3_70b,s6,200
Total,0.343977897789779,llama3_70b,s6,400
Direct,0.35259420088592697,llama3_70b,s6,400
Indirect,0.012226095268535166,llama3_70b,s6,400
Spurious,0,llama3_70b,s6,400
Total,0.32200913343481596,llama3_70b,s6,600
Direct,0.31684596973669255,llama3_70b,s6,600
Indirect,0.0018309258215859145,llama3_70b,s6,600
Spurious,0,llama3_70b,s6,600
Total,0.31819192619953873,llama3_70b,s6,800
Direct,0.31197242829972455,llama3_70b,s6,800
Indirect,0.002746913950905845,llama3_70b,s6,800
Spurious,0,llama3_70b,s6,800
Total,0.06591436574629848,llama3_70b,s7,100
Direct,0.0752405558624605,llama3_70b,s7,100
Indirect,0,llama3_70b,s7,100
Spurious,0.02197770310358426,llama3_70b,s7,100
Total,0,llama3_70b,s7,200
Direct,0,llama3_70b,s7,200
Indirect,0.010604384430819985,llama3_70b,s7,200
Spurious,0.003980399624371381,llama3_70b,s7,200
Total,0,llama3_70b,s7,400
Direct,0,llama3_70b,s7,400
Indirect,0,llama3_70b,s7,400
Spurious,0.0039407409461634365,llama3_70b,s7,400
Total,0,llama3_70b,s7,600
Direct,0,llama3_70b,s7,600
Indirect,0,llama3_70b,s7,600
Spurious,0,llama3_70b,s7,600
Total,0,llama3_70b,s7,800
Direct,0,llama3_70b,s7,800
Indirect,0.002015717538021026,llama3_70b,s7,800
Spurious,0.002693871727337591,llama3_70b,s7,800
Total,0.019198717948717883,llama3_70b,s8,100
Direct,0.02852839601662186,llama3_70b,s8,100
Indirect,0,llama3_70b,s8,100
Spurious,0.01413288828894748,llama3_70b,s8,100
Total,0,llama3_70b,s8,200
Direct,0,llama3_70b,s8,200
Indirect,0.00273686866447392,llama3_70b,s8,200
Spurious,0.004115396537351225,llama3_70b,s8,200
Total,0.01808870221755558,llama3_70b,s8,400
Direct,0.018468724146039117,llama3_70b,s8,400
Indirect,0,llama3_70b,s8,400
Spurious,0.002695959126154324,llama3_70b,s8,400
Total,0,llama3_70b,s8,600
Direct,0,llama3_70b,s8,600
Indirect,0.00124533025762402,llama3_70b,s8,600
Spurious,0.0016256940778856378,llama3_70b,s8,600
Total,0,llama3_70b,s8,800
Direct,0,llama3_70b,s8,800
Indirect,0,llama3_70b,s8,800
Spurious,0,llama3_70b,s8,800
Total,0,llama3_70b,s9,100
Direct,0,llama3_70b,s9,100
Indirect,0.010852505299529216,llama3_70b,s9,100
Spurious,0.0015007826976172938,llama3_70b,s9,100
Total,0,llama3_70b,s9,200
Direct,0,llama3_70b,s9,200
Indirect,0.0304963791973777,llama3_70b,s9,200
Spurious,0,llama3_70b,s9,200
Total,0,llama3_70b,s9,400
Direct,0.013731881129683886,llama3_70b,s9,400
Indirect,0.05193258484751099,llama3_70b,s9,400
Spurious,0.003014417794324081,llama3_70b,s9,400
Total,0,llama3_70b,s9,600
Direct,0.00434764080649138,llama3_70b,s9,600
Indirect,0.02173174670287826,llama3_70b,s9,600
Spurious,0.00812073304626802,llama3_70b,s9,600
Total,0,llama3_70b,s9,800
Direct,0.03333288744800068,llama3_70b,s9,800
Indirect,0.05126702092247548,llama3_70b,s9,800
Spurious,0.004570632180310523,llama3_70b,s9,800
Total,0,llama3_70b,s10,100
Direct,0,llama3_70b,s10,100
Indirect,0,llama3_70b,s10,100
Spurious,7.093747567601279e-4,llama3_70b,s10,100
Total,0,llama3_70b,s10,200
Direct,0,llama3_70b,s10,200
Indirect,0,llama3_70b,s10,200
Spurious,0.00568900255821046,llama3_70b,s10,200
Total,0,llama3_70b,s10,400
Direct,0,llama3_70b,s10,400
Indirect,0,llama3_70b,s10,400
Spurious,0.0016977069775634174,llama3_70b,s10,400
Total,0,llama3_70b,s10,600
Direct,0,llama3_70b,s10,600
Indirect,0,llama3_70b,s10,600
Spurious,0,llama3_70b,s10,600
Total,0,llama3_70b,s10,800
Direct,0,llama3_70b,s10,800
Indirect,0,llama3_70b,s10,800
Spurious,0.0013149340156411499,llama3_70b,s10,800
Total,0.06884753901560621,llama3_70b,s11,100
Direct,0.07631457082067154,llama3_70b,s11,100
Indirect,0,llama3_70b,s11,100
Spurious,0.015359877924860115,llama3_70b,s11,100
Total,0,llama3_70b,s11,200
Direct,0,llama3_70b,s11,200
Indirect,0,llama3_70b,s11,200
Spurious,0.011665835650901473,llama3_70b,s11,200
Total,0.022897289728972873,llama3_70b,s11,400
Direct,0.030959206152638953,llama3_70b,s11,400
Indirect,0.012459106452827263,llama3_70b,s11,400
Spurious,0,llama3_70b,s11,400
Total,0,llama3_70b,s11,600
Direct,0,llama3_70b,s11,600
Indirect,0,llama3_70b,s11,600
Spurious,0.005576332444773434,llama3_70b,s11,600
Total,0,llama3_70b,s11,800
Direct,0,llama3_70b,s11,800
Indirect,0,llama3_70b,s11,800
Spurious,0.0015951198796128451,llama3_70b,s11,800
Total,0,llama3_70b,s12,100
Direct,0,llama3_70b,s12,100
Indirect,0,llama3_70b,s12,100
Spurious,0.006644617197887043,llama3_70b,s12,100
Total,0,llama3_70b,s12,200
Direct,0,llama3_70b,s12,200
Indirect,0,llama3_70b,s12,200
Spurious,0.0064747520626550785,llama3_70b,s12,200
Total,0,llama3_70b,s12,400
Direct,0,llama3_70b,s12,400
Indirect,0,llama3_70b,s12,400
Spurious,0.004770966749293677,llama3_70b,s12,400
Total,0,llama3_70b,s12,600
Direct,0,llama3_70b,s12,600
Indirect,0,llama3_70b,s12,600
Spurious,0.007229488349158077,llama3_70b,s12,600
Total,0,llama3_70b,s12,800
Direct,0,llama3_70b,s12,800
Indirect,2.8338279862232744e-4,llama3_70b,s12,800
Spurious,0.011839516667495241,llama3_70b,s12,800
