model,budget,Effect,Estimate
llama_3_1_8b_instant,100,Direct,3.307008053448883e-4
llama_3_1_8b_instant,100,Indirect,0.005250041549636424
llama_3_1_8b_instant,100,Spurious,8.221972592153451e-4
llama_3_1_8b_instant,100,Total,0.002512000000000001
llama_3_1_8b_instant,200,Direct,0.0026536225411574873
llama_3_1_8b_instant,200,Indirect,0.005236916540662157
llama_3_1_8b_instant,200,Spurious,0.0012590613623438545
llama_3_1_8b_instant,200,Total,0.004615981598159816
llama_3_1_8b_instant,400,Direct,0.0032949160920075476
llama_3_1_8b_instant,400,Indirect,0.0023346811631294773
llama_3_1_8b_instant,400,Spurious,0.0017227734576907852
llama_3_1_8b_instant,400,Total,0.004544613253755945
llama_3_1_8b_instant,600,Direct,0.0048617196314552
llama_3_1_8b_instant,600,Indirect,0.005441084333057401
llama_3_1_8b_instant,600,Spurious,0.0015320975765839657
llama_3_1_8b_instant,600,Total,0.005454026398299157
llama_3_1_8b_instant,800,Direct,0.0027827258540587805
llama_3_1_8b_instant,800,Indirect,0.0034223992970737038
llama_3_1_8b_instant,800,Spurious,0.002776800724608055
llama_3_1_8b_instant,800,Total,0.004462559730918369
