model,budget,Effect,Estimate
siebert_sentiment_roberta_large_english,100,Direct,0.02052619932867644
siebert_sentiment_roberta_large_english,100,Indirect,0.015401891620026658
siebert_sentiment_roberta_large_english,100,Spurious,0.004029337193947322
siebert_sentiment_roberta_large_english,100,Total,0.020221776390048213
siebert_sentiment_roberta_large_english,200,Direct,0.011312684295476832
siebert_sentiment_roberta_large_english,200,Indirect,0.008222232517127366
siebert_sentiment_roberta_large_english,200,Spurious,0.0025378361555832936
siebert_sentiment_roberta_large_english,200,Total,0.00971753317185793
siebert_sentiment_roberta_large_english,400,Direct,0.006638924591247549
siebert_sentiment_roberta_large_english,400,Indirect,0.012943383650685867
siebert_sentiment_roberta_large_english,400,Spurious,0.0032165876366448973
siebert_sentiment_roberta_large_english,400,Total,0.009894331670620659
siebert_sentiment_roberta_large_english,600,Direct,0.005162916944132065
siebert_sentiment_roberta_large_english,600,Indirect,0.014260640471150186
siebert_sentiment_roberta_large_english,600,Spurious,0.0019139679912641156
siebert_sentiment_roberta_large_english,600,Total,0.004975064204229692
siebert_sentiment_roberta_large_english,800,Direct,0.007808569775321733
siebert_sentiment_roberta_large_english,800,Indirect,0.01481541538409343
siebert_sentiment_roberta_large_english,800,Spurious,0.0024094304229651336
siebert_sentiment_roberta_large_english,800,Total,0.007183627364963433
