model,budget,Effect,Estimate
textattack_bert_base_uncased_SST_2,100,Direct,0.06875648025879053
textattack_bert_base_uncased_SST_2,100,Indirect,0.01286868627836872
textattack_bert_base_uncased_SST_2,100,Spurious,0.01575535705580212
textattack_bert_base_uncased_SST_2,100,Total,0.05933504840824195
textattack_bert_base_uncased_SST_2,200,Direct,0.06313398854832507
textattack_bert_base_uncased_SST_2,200,Indirect,0.002482127941774325
textattack_bert_base_uncased_SST_2,200,Spurious,0.009278705739546936
textattack_bert_base_uncased_SST_2,200,Total,0.05989930118661009
textattack_bert_base_uncased_SST_2,400,Direct,0.060631266463235634
textattack_bert_base_uncased_SST_2,400,Indirect,0.0019617260112103655
textattack_bert_base_uncased_SST_2,400,Spurious,0.003695594549386986
textattack_bert_base_uncased_SST_2,400,Total,0.06864887447404118
textattack_bert_base_uncased_SST_2,600,Direct,0.06124509591248456
textattack_bert_base_uncased_SST_2,600,Indirect,0.005527478983228972
textattack_bert_base_uncased_SST_2,600,Spurious,0.004625037854832233
textattack_bert_base_uncased_SST_2,600,Total,0.059519088131048455
textattack_bert_base_uncased_SST_2,800,Direct,0.06165994008013712
textattack_bert_base_uncased_SST_2,800,Indirect,0.006794650657322716
textattack_bert_base_uncased_SST_2,800,Spurious,0.003301713723076628
textattack_bert_base_uncased_SST_2,800,Total,0.06155534675443647
