Effect,Estimate,model,scenario,budget
Total,0.033107997150066855,textattack_bert_base_uncased_SST_2,s1,100
Direct,0.06329599015466314,textattack_bert_base_uncased_SST_2,s1,100
Indirect,0,textattack_bert_base_uncased_SST_2,s1,100
Spurious,0.05586942488819759,textattack_bert_base_uncased_SST_2,s1,100
Total,0.014603260941803455,textattack_bert_base_uncased_SST_2,s1,200
Direct,0.005893475844911963,textattack_bert_base_uncased_SST_2,s1,200
Indirect,0,textattack_bert_base_uncased_SST_2,s1,200
Spurious,0.019715417552640484,textattack_bert_base_uncased_SST_2,s1,200
Total,0.009609549391993783,textattack_bert_base_uncased_SST_2,s1,400
Direct,0,textattack_bert_base_uncased_SST_2,s1,400
Indirect,0,textattack_bert_base_uncased_SST_2,s1,400
Spurious,0,textattack_bert_base_uncased_SST_2,s1,400
Total,0.02372360066510737,textattack_bert_base_uncased_SST_2,s1,600
Direct,0.02914683332040854,textattack_bert_base_uncased_SST_2,s1,600
Indirect,0,textattack_bert_base_uncased_SST_2,s1,600
Spurious,0.010426327391945088,textattack_bert_base_uncased_SST_2,s1,600
Total,0.016245255139991487,textattack_bert_base_uncased_SST_2,s1,800
Direct,0.010445641413943054,textattack_bert_base_uncased_SST_2,s1,800
Indirect,0,textattack_bert_base_uncased_SST_2,s1,800
Spurious,0.004851693737721163,textattack_bert_base_uncased_SST_2,s1,800
Total,0,textattack_bert_base_uncased_SST_2,s2,100
Direct,0,textattack_bert_base_uncased_SST_2,s2,100
Indirect,0.007971613687201992,textattack_bert_base_uncased_SST_2,s2,100
Spurious,0.028544886717021985,textattack_bert_base_uncased_SST_2,s2,100
Total,0,textattack_bert_base_uncased_SST_2,s2,200
Direct,0,textattack_bert_base_uncased_SST_2,s2,200
Indirect,0.008268758000300153,textattack_bert_base_uncased_SST_2,s2,200
Spurious,0,textattack_bert_base_uncased_SST_2,s2,200
Total,0,textattack_bert_base_uncased_SST_2,s2,400
Direct,0,textattack_bert_base_uncased_SST_2,s2,400
Indirect,0.005299489505897621,textattack_bert_base_uncased_SST_2,s2,400
Spurious,0.010828046571593164,textattack_bert_base_uncased_SST_2,s2,400
Total,0,textattack_bert_base_uncased_SST_2,s2,600
Direct,0,textattack_bert_base_uncased_SST_2,s2,600
Indirect,0.0027433157754518257,textattack_bert_base_uncased_SST_2,s2,600
Spurious,0.004097149334477179,textattack_bert_base_uncased_SST_2,s2,600
Total,0,textattack_bert_base_uncased_SST_2,s2,800
