component,value,sd,ci_lo,ci_hi,verdict,model,scenario,dag,dag_desc,Z_set,W_set
TV,-0.043528172589008804,0.01250089763828814,-0.06802993196005355,-0.019026413217964052,-,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.043528172589008804,0.01250089763828814,-0.06802993196005355,-0.019026413217964052,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.04078052427693812,0.004486243008210505,-0.04957356057303071,-0.031987487980845525,-,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.04344715026197187,0.004294824249939042,-0.051865005791852395,-0.03502929473209135,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0016544050192247638,9.788575987260857e-4,-0.0035729659127278915,2.641558742783642e-4,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,8.10223270369311e-5,0.011267357358382721,-0.022002998095393203,0.022165042749467068,0,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0044020533312954515,0.011278727654843352,-0.017704252872197516,0.02650835953478842,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,7.10658383991832e-18,6.399679504609032e-19,5.852246657014949e-18,8.36092102282169e-18,+,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.027280072763939497,0.012272074806492145,-0.0513333393846641,-0.0032268061432148935,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.027280072763939497,0.012272074806492145,-0.0513333393846641,-0.0032268061432148935,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.027279250027308567,0.004898253251571552,-0.03687982640038881,-0.017678673654228323,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.028157923455589717,0.0048843916211921985,-0.037731331033126425,-0.018584515878053008,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0025752076279478373,0.0014051200161178735,-0.005329242859538869,1.7882760364319478e-4,0,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-8.778506916502369e-4,0.01089196858567987,-0.02222610911958278,0.020470407736282305,0,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0025760303645787665,0.010922637383337862,-0.018832338906763443,0.023984399635920976,0,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,1.7965952799533133e-17,7.485303977817436e-19,1.6498833219880915e-17,1.9433072379185352e-17,+,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.012220553134702026,0.01907685304959818,-0.049611185111914466,0.02517007884251041,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.012220553134702026,0.01907685304959818,-0.049611185111914466,0.02517007884251041,0,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.011914880205334499,0.0067974687708057145,-0.025237918996113697,0.001408158585444701,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.013240410235071104,0.006519158000514118,-0.026017959916078776,-4.62860554063433e-4,-,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0010766794298474954,0.0011554193247631588,-0.0033413013063832864,0.0011879424466882957,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.0010198571003690801,0.017746845461881235,-0.0358036742056563,0.03376396000491814,0,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0013823523592150205,0.017699163539701458,-0.033308008178599836,0.03607271289702988,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,3.231893738452988e-18,8.024947062459683e-19,1.6590041142108903e-18,4.804783362695086e-18,+,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
