component,value,sd,ci_lo,ci_hi,verdict,generator,model,scenario,model_short
TV,-0.04155182219888869,0.04000498465757777,-0.11996159212774113,0.03685794772996374,0,CHATGPT4,gpt_3_5_turbo,s1,gpt35
DE,-0.047268718118870234,0.012941233898589831,-0.07263353656010631,-0.021903899677634165,-,CHATGPT4,gpt_3_5_turbo,s1,gpt35
IE,-0.007864844503751713,0.0028834456195201454,-0.013516397918011198,-0.0022132910894922288,-,CHATGPT4,gpt_3_5_turbo,s1,gpt35
SE,0.0021479485837701696,0.03633193790924579,-0.06906264971835158,0.07335854688589191,0,CHATGPT4,gpt_3_5_turbo,s1,gpt35
TV,-0.2026345231919295,0.04253317697341329,-0.2859995500598196,-0.11926949632403945,-,CHATGPT4,gpt_3_5_turbo,s2,gpt35
DE,-0.19573910496493993,0.015096381500597007,-0.22532801270611005,-0.1661501972237698,-,CHATGPT4,gpt_3_5_turbo,s2,gpt35
IE,-0.004294149539650659,0.004946820665689166,-0.013989918044401424,0.005401618965100107,0,CHATGPT4,gpt_3_5_turbo,s2,gpt35
SE,0.011189567766640224,0.03487681066439602,-0.057168981135575975,0.07954811666885642,0,CHATGPT4,gpt_3_5_turbo,s2,gpt35
TV,0.10758660991631193,0.040383284906899776,0.028435371498788373,0.1867378483338355,+,CHATGPT4,gpt_3_5_turbo,s3,gpt35
DE,0.09139611487301412,0.012802967793243211,0.06630229799825743,0.11648993174777081,+,CHATGPT4,gpt_3_5_turbo,s3,gpt35
IE,-0.0023616910477365877,0.0032177483925958437,-0.008668477897224441,0.003945095801751265,0,CHATGPT4,gpt_3_5_turbo,s3,gpt35
SE,-0.013828803995561217,0.0397859368444028,-0.0918092402105907,0.06415163221946826,0,CHATGPT4,gpt_3_5_turbo,s3,gpt35
TV,-0.20108506103468315,0.04183725693774675,-0.28308608463266677,-0.11908403743669953,-,CHATGPT4,gpt_3_5_turbo,s4,gpt35
DE,-0.20447172158145244,0.015310095398546454,-0.2344795085626035,-0.17446393460030138,-,CHATGPT4,gpt_3_5_turbo,s4,gpt35
