component,value,sd,ci_lo,ci_hi,verdict,model,scenario,dag,dag_desc,Z_set,W_set
TV,-0.020402913474245523,0.011689644914279236,-0.043314617506232826,0.00250879055774178,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.020402913474245523,0.011689644914279236,-0.043314617506232826,0.00250879055774178,0,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.017234508544346005,0.004456529701482254,-0.025969306759251222,-0.008499710329440788,-,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.020623152819054993,0.004269958007874575,-0.02899227051448916,-0.012254035123620825,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0017456553403957578,9.454231023743361e-4,-0.0035986846210494567,1.0737394025794097e-4,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-2.2023934480946286e-4,0.010635113123492754,-0.02106506106685526,0.020624582377236335,0,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0049140602702952806,0.010822466620039765,-0.01629797430498266,0.02612609484557322,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-4.4755865680201624e-18,4.453663625918851e-19,-5.3485046387002574e-18,-3.6026684973400674e-18,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.055721731403980186,0.010659809540884363,-0.07661495810411353,-0.03482850470384684,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.055721731403980186,0.010659809540884363,-0.07661495810411353,-0.03482850470384684,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.05510148918142776,0.0044319140574087534,-0.06378804073394892,-0.046414937628906604,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.05753363960490039,0.0043384242210903435,-0.06603695107823747,-0.049030328131563314,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.003651660176908473,0.0015480178908206918,-0.006685775242917028,-6.17545110899917e-4,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.0018119082009202007,0.009137073163060366,-0.01972057160051852,0.016096755198678116,0,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0042719023994608986,0.00931803530814702,-0.01399144680450726,0.02253525160342906,0,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-5.66098094327098e-18,4.458753701259734e-19,-6.534896668717888e-18,-4.7870652178240725e-18,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.028916901229250825,0.015538524999184688,-0.059372410227652814,0.0015386077691511638,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.028916901229250825,0.015538524999184688,-0.059372410227652814,0.0015386077691511638,0,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.02743058787135361,0.010305847323976797,-0.047630048626348134,-0.007231127116359089,-,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.030951565642461473,0.009934461511839583,-0.05042311020566706,-0.01148002107925589,-,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0033083956582513857,0.0020321791578661115,-0.007291466807668965,6.746754911661928e-4,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.002034664413210656,0.011529950760188553,-0.024633367903180218,0.020564039076758907,0,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0047947090161486,0.011992476971677142,-0.018710545848338596,0.028299963880635798,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,6.226256850950611e-18,8.394605257752973e-19,4.580914220431028e-18,7.871599481470194e-18,+,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
