NumSentences,UniqueTokens_Raw_Mean,UniqueTokens_Raw_SD,UniqueTokens_Deduplicated_Mean,UniqueTokens_Deduplicated_SD
200,103.0,1.9,110.8,0.75
400,107.8,1.6,112.8,1.33
600,109.8,1.17,117.0,0.89
800,113.0,1.1,117.4,1.02
1000,113.2,1.6,117.8,0.75
1200,114.8,0.75,117.6,1.02
1400,114.2,1.94,118.2,0.4
1600,115.6,1.02,118.6,0.8
1800,115.2,0.4,118.8,0.4
2000,115.0,1.1,,
2200,116.4,0.49,,
2400,115.8,1.47,,
2600,115.0,0.63,,
2800,116.4,0.49,,
3000,117.2,0.98,,
3200,116.8,1.47,,
3400,116.6,1.62,,
3600,117.6,0.49,,
3800,116.4,0.8,,
4000,116.6,0.49,,
4200,117.0,0.0,,
4400,117.6,0.49,,
4600,118.2,0.75,,
4800,118.0,1.26,,
5000,117.8,0.75,,
